#
# Full target list for orbit 9, sector 1
# Created Thu Aug 16 19:30:55 EDT 2018 
# Concatenation of GI astero exo bright DDT ppas lists
#
TICID,Camera,CCD,Tmag,RA,Dec
8195886,1,1,9.85,311.3326,-38.4275
8196058,1,1,8.18,311.3688,-38.0655
8196173,1,1,8.99,311.4127,-37.8439
8196285,1,1,9.08,311.3560,-37.5918
8196324,1,1,9.39,311.3043,-37.5068
8196402,1,1,9.97,311.4088,-37.3279
24195569,1,4,12.75,317.9844,-22.8767
24195690,1,4,9.41,318.0197,-22.5439
24231627,1,4,9.64,318.1267,-23.4428
24265684,1,4,7.49,318.3628,-22.5463
24265755,1,4,7.11,318.3551,-22.7619
24265859,1,4,9.51,318.3142,-23.0651
24292625,1,4,11.91,318.6732,-22.2927
24292848,1,4,7.76,318.6375,-22.8782
24293836,1,4,11.56,318.7069,-22.3134
24672008,3,4,12.34,34.4368,-72.5756
24693383,3,3,9.19,34.6101,-76.5812
24693528,3,3,9.53,34.6774,-77.2044
24694579,3,3,9.24,34.9968,-74.5632
24695017,3,4,8.49,35.0243,-72.8293
24695161,3,4,9.75,35.0416,-72.3521
24695711,3,4,8.19,25.1693,-67.7993
24695725,3,4,16.01,25.2522,-67.8908
24696180,3,4,7.93,25.1378,-69.9870
24703650,3,4,10.25,25.1053,-71.5220
24704388,3,4,8.70,25.5652,-69.7593
24704862,3,4,7.73,25.3155,-67.6793
24704868,3,4,14.78,25.4576,-67.6217
24705529,3,4,9.71,25.8557,-67.0430
24705587,3,4,13.36,25.7498,-67.3137
24705603,3,4,10.13,25.6326,-67.3740
24706359,3,4,9.24,25.6220,-70.5321
24706893,3,4,8.13,25.9831,-71.4666
24750295,3,4,8.54,26.2246,-67.9749
24750489,3,4,10.05,26.4473,-68.8215
24750548,3,4,8.60,26.2187,-69.0904
24750915,3,4,8.54,26.1784,-70.5601
24751068,3,4,10.87,26.3190,-71.1591
24751264,3,4,12.03,26.2555,-71.9325
25063296,4,1,10.53,60.0683,-71.2316
25063986,4,1,10.02,60.0797,-68.9670
25063999,4,1,9.87,60.1099,-68.9360
25064377,4,1,10.37,59.9666,-67.6894
25064731,4,1,9.08,59.9243,-66.6278
25064848,4,1,9.87,59.9061,-66.2474
25065290,4,1,10.98,60.3891,-66.8930
25065357,4,1,9.06,60.2114,-67.1485
25065358,4,1,11.31,60.3249,-67.1503
25065471,4,1,10.19,60.3077,-67.5572
25077654,4,1,10.83,60.3401,-67.7029
25077712,4,1,12.30,60.3661,-67.9057
25078674,4,1,6.53,60.1823,-71.1666
25078884,4,1,11.14,60.3146,-71.8762
25078924,4,1,10.72,60.9309,-65.9728
25079777,4,1,11.22,60.9554,-68.5723
25080362,4,1,11.13,60.8210,-70.5031
25080867,4,1,9.73,61.0900,-71.5589
25081005,4,1,10.31,61.1644,-71.1440
25081091,4,1,9.87,61.0589,-70.8758
25081173,4,1,10.30,61.2187,-70.5484
25081407,4,1,10.54,61.3303,-69.7218
25081575,4,1,9.90,61.3040,-69.1118
25081629,4,1,14.06,61.1865,-68.9051
25081729,4,1,11.82,61.2289,-68.5374
25115881,4,1,11.55,61.1296,-67.5474
25115993,4,1,11.74,61.1147,-67.2518
25116013,4,1,9.44,61.1138,-67.1701
25116119,4,1,9.69,61.2768,-66.8058
25116423,4,1,11.90,61.5035,-66.0808
25116563,4,1,10.71,61.5052,-66.5542
25117096,4,1,10.56,61.4951,-68.6859
25117242,4,1,9.68,61.6391,-69.2700
25117273,4,1,9.17,61.3880,-69.4004
25117741,4,1,11.11,61.5949,-71.2161
25117756,4,1,9.81,61.4763,-71.2691
25118098,4,1,9.56,61.7915,-71.5134
25118795,4,1,9.83,61.9356,-69.0537
25118964,4,1,11.99,61.9331,-68.4196
25131718,4,1,11.62,62.1504,-66.5596
25132222,4,1,9.27,62.0007,-68.3613
25132265,4,1,8.99,62.1423,-68.5117
25132314,4,1,8.01,62.1283,-68.7022
25132694,4,1,9.15,61.9840,-70.2253
25132696,4,1,11.02,62.0469,-70.2403
25132720,4,1,11.59,61.9861,-70.3032
25132754,4,1,10.25,62.1376,-70.4345
25132893,4,1,10.61,62.0401,-70.9808
25132999,4,1,10.77,62.0296,-71.4497
25133016,4,1,13.42,62.2004,-71.5019
25133052,4,1,8.11,62.1402,-71.6393
25133068,4,1,9.40,62.0867,-71.6984
25133286,4,1,13.18,62.2975,-71.2948
25133604,4,1,13.13,62.3289,-70.0040
25133636,4,1,10.56,62.4673,-69.8558
25134376,4,1,8.92,62.4963,-67.3280
25134377,4,1,8.29,62.5145,-67.3262
25134442,4,1,10.83,62.3365,-67.1053
25134567,4,1,11.40,62.4214,-66.6228
25135970,1,3,10.33,326.0383,-22.0134
25136499,1,3,14.22,325.9955,-23.4869
25136560,1,3,9.70,325.9920,-23.6467
25136780,1,3,10.76,326.1803,-23.5534
25137423,1,3,14.81,326.1067,-21.7750
25139818,1,3,9.08,326.2682,-20.1122
25153007,4,1,8.88,62.8649,-70.7383
25153041,4,1,9.32,63.1397,-70.6392
25153109,4,1,8.87,63.0168,-70.3889
25153167,4,1,13.55,63.0753,-70.1659
25153404,4,1,10.63,63.1266,-69.3085
25153544,4,1,9.73,62.9241,-68.8444
25153635,4,1,14.73,62.9735,-68.5590
25154399,4,1,9.48,63.4173,-66.0490
25155310,4,1,10.55,63.3748,-69.2265
25155510,4,1,11.23,63.3746,-69.8853
25155612,4,1,10.24,63.2176,-70.2498
25155664,4,1,6.67,63.3132,-70.4201
25155698,4,1,8.20,63.4129,-70.5068
25155713,4,1,10.52,63.3203,-70.5552
25156036,4,1,9.34,63.4411,-71.7059
25165579,1,3,12.38,326.2978,-20.5702
25165839,1,3,10.31,326.2686,-20.9755
25167586,1,3,8.78,326.3302,-21.8773
25167696,1,3,10.16,326.3625,-21.5670
25167840,1,3,13.34,326.3893,-21.2082
25170085,1,3,10.94,326.5555,-20.6431
25170114,1,3,10.08,326.5813,-20.7332
25170460,1,3,8.73,326.4741,-21.7488
25194993,4,1,10.72,64.0248,-66.6547
25195850,4,1,13.08,63.7498,-69.4836
25196278,4,1,9.98,63.8644,-70.8406
25196356,4,1,8.45,63.7786,-71.1331
25200060,1,3,10.34,326.6910,-21.7643
25200252,1,3,10.88,326.6913,-21.2967
25202447,1,3,8.78,326.7867,-20.5210
25225564,1,3,8.77,326.8694,-23.6714
25226885,1,3,11.87,326.9580,-20.2352
25228605,1,3,9.70,327.0213,-20.2351
25230545,1,3,8.32,327.1770,-22.1256
25243422,1,3,11.85,327.2226,-19.7910
25244716,1,3,9.18,327.2226,-19.6628
25244906,1,3,8.68,327.2660,-20.1488
25245547,1,3,15.58,327.2482,-21.8839
25245570,1,3,14.83,327.2564,-21.9304
25245855,1,3,9.03,327.3342,-22.6277
25245922,1,3,7.91,327.2794,-22.8184
25246985,1,3,9.26,327.4136,-21.8046
25247445,1,3,8.20,327.4146,-20.5079
25282861,1,3,10.40,327.4936,-21.0384
25282940,1,3,8.84,327.5851,-21.2769
25283002,1,3,11.45,327.4906,-21.4475
25284465,1,3,9.29,327.6060,-22.2130
25285075,1,3,7.06,327.7118,-20.5409
25285103,1,3,9.02,327.6540,-20.4801
25285374,1,3,8.85,327.6298,-19.7167
25299762,1,3,5.28,327.7354,-20.1888
25300088,1,3,13.36,327.8045,-21.1179
25300347,1,3,8.79,327.8441,-21.7508
25300361,1,3,10.44,327.7977,-21.7839
25300818,1,3,6.38,327.8544,-23.2710
25301292,1,3,11.98,327.9368,-23.1187
25350326,1,3,11.83,328.0925,-22.1091
25350747,1,3,8.73,328.0627,-23.4314
25351345,1,3,8.48,328.1373,-22.6801
25351646,1,3,9.59,328.2354,-21.8748
25352261,1,3,9.07,328.2136,-20.0205
25353710,1,3,12.65,328.3425,-20.1255
25355566,1,3,8.85,328.4156,-21.8608
25356194,1,3,7.59,328.4439,-20.0064
25356351,1,3,8.98,328.4588,-19.5460
25357744,1,3,9.89,328.5811,-20.3363
25357756,1,3,9.55,328.6217,-20.3639
25357782,1,3,11.73,328.5402,-20.4642
25358020,1,3,9.56,328.5133,-21.1703
25358793,1,3,9.97,328.5843,-23.4822
25372748,1,3,9.67,328.7383,-21.5871
25373148,1,3,15.92,328.6435,-20.3744
25374561,1,3,8.45,328.8272,-19.6392
25374751,1,3,11.50,328.7604,-20.2402
25375552,1,3,8.89,328.8148,-22.6121
25375553,1,3,9.77,328.7677,-22.6126
25375770,1,3,5.60,328.8635,-23.2894
25375915,1,3,8.12,328.8472,-23.7353
29189156,1,4,8.07,312.6333,-28.8258
29189207,1,4,9.40,312.5993,-28.7516
29253938,1,4,8.09,312.6655,-27.9769
29255834,1,4,6.38,312.6252,-24.9834
29257211,1,4,15.32,312.7508,-24.8687
29257288,1,4,11.86,312.7917,-24.9720
29260474,1,4,6.63,312.9111,-29.4425
29281339,1,4,6.63,312.9013,-27.9953
29281750,1,4,9.51,312.8751,-27.3141
29281992,1,4,2.59,312.9553,-26.9191
29284027,1,4,8.04,313.0763,-24.1588
29285387,1,4,10.20,313.0082,-26.2489
29285612,1,4,10.04,313.0859,-26.6465
29287204,1,4,10.61,313.0542,-29.2668
29344151,1,4,8.18,313.1601,-26.9207
29344935,1,4,13.18,313.2155,-25.6874
29346756,1,4,9.59,313.3303,-25.0460
29348570,1,4,7.80,313.3346,-28.0243
29388651,1,4,4.80,313.5274,-27.9252
29389596,1,4,7.22,313.4825,-26.3204
29390897,1,4,13.37,313.4912,-24.3300
29392968,1,4,9.41,313.5772,-26.6258
29393000,1,4,9.91,313.6165,-26.6653
29430495,1,4,9.99,313.6019,-29.6823
29430569,1,4,13.59,313.5979,-29.7943
29431427,1,4,8.34,313.7830,-28.4925
29432990,1,4,8.91,313.6763,-26.0158
29433169,1,4,8.24,313.7890,-25.7020
29435548,1,4,12.55,313.8766,-26.0158
