#
# Full target list for orbit 11, sector 2
# Created Fri Aug 24 12:54:36 EDT 2018 
# Concatenation of GI astero exo bright DDT ppas lists
#
TICID,Camera,CCD,Tmag,RA,Dec
2733208,1,3,8.03,356.0455,-13.1907
2733409,1,3,7.55,356.1195,-14.4202
2733520,1,3,9.27,356.0986,-14.9829
2733611,1,3,11.12,356.1304,-15.5197
2733720,1,3,12.38,356.0839,-16.1814
2758909,1,3,10.46,356.2393,-15.3973
2758962,1,3,11.70,356.2126,-15.1253
2759628,1,3,10.26,356.3191,-12.7362
2759686,1,3,9.80,356.3016,-13.0407
2760102,1,3,15.51,356.3613,-15.4774
2760232,1,3,11.13,356.3781,-16.1751
2760339,1,3,15.67,356.3827,-16.8213
2760710,1,3,14.28,356.5273,-16.6915
2760718,1,3,10.07,356.4873,-16.6597
2761086,1,3,10.25,356.4736,-14.3638
2761472,1,3,12.55,356.5813,-11.9461
2761597,1,3,7.87,356.6459,-12.7585
2761836,1,3,13.00,356.5473,-14.0698
2761897,1,3,8.57,356.5425,-14.4983
2761911,1,3,10.22,356.6520,-14.5912
2762148,1,3,12.72,356.6003,-15.9906
2762303,1,3,9.47,356.5573,-16.8316
2762652,1,3,8.50,356.7809,-17.0995
2763177,1,3,8.38,356.7544,-14.1212
2763236,1,3,10.35,356.7469,-13.7048
2835867,1,3,8.00,356.7174,-12.4371
2835941,1,3,4.96,356.8161,-11.9116
2835989,1,3,12.52,356.8390,-12.3440
2836713,1,3,7.83,356.9004,-15.9812
4579916,1,3,8.10,348.4076,-11.7494
4582469,1,3,9.41,348.5167,-11.6294
4582570,1,3,9.65,348.6362,-11.7162
4602717,1,3,7.36,348.8368,-11.5656
4611069,1,3,9.14,349.0614,-11.8662
4619738,1,3,9.53,349.2639,-11.7388
5611068,1,4,13.36,346.0334,-17.1338
5611236,1,4,11.80,345.9983,-16.2037
5631514,1,4,10.21,346.0440,-13.0379
5631575,1,4,8.70,346.0554,-12.7908
5632152,1,4,10.66,346.1381,-13.6079
5632200,1,4,8.88,346.1797,-13.8682
5632334,1,4,8.61,346.1934,-14.5941
5632571,1,4,8.89,346.2080,-15.7240
5632654,1,4,9.83,346.1846,-16.1483
5632856,1,4,8.94,346.2335,-17.2108
5632933,1,4,12.61,346.1755,-17.6741
5633109,1,4,10.63,346.3647,-17.2187
5633132,1,4,4.86,346.3033,-17.0793
5633483,1,4,7.66,346.3510,-15.4316
5633903,1,4,9.81,346.3502,-13.4935
5634073,1,4,9.11,346.3388,-12.7164
5634158,1,4,10.62,346.3557,-12.3666
5634659,1,4,10.24,346.4786,-13.9060
5634788,1,4,12.32,346.3807,-14.5752
5639386,1,4,8.33,346.3879,-15.0639
5639467,1,4,7.32,346.4705,-15.4527
5640288,1,4,10.36,346.5099,-16.3745
5640393,1,4,11.18,346.5130,-15.9376
5640851,1,4,8.99,346.5942,-13.6650
5641144,1,4,9.16,346.6084,-12.4857
5641447,1,4,10.14,346.6522,-12.8667
5641821,1,4,8.77,346.6601,-14.6043
5641875,1,4,8.54,346.6644,-14.8635
5642039,1,4,8.72,346.7119,-15.6134
5642268,1,4,8.44,346.6726,-16.6404
5642563,1,4,12.99,346.7637,-17.8397
5654308,1,4,7.77,346.7469,-12.7311
5655357,1,4,9.71,346.9163,-16.1185
5655899,1,4,8.20,347.0660,-17.0599
5655983,1,4,10.07,346.9918,-16.6398
5656032,1,4,8.78,347.0445,-16.3435
5656117,1,4,14.01,347.0600,-15.9875
5656272,1,4,11.06,347.0475,-15.4114
5656273,1,4,9.15,347.0821,-15.4100
5676236,1,4,7.75,347.1646,-15.0548
5676346,1,4,12.15,347.1633,-15.5771
5676537,1,4,9.20,347.1684,-16.3833
5676751,1,4,8.85,347.2239,-17.4315
5716512,1,4,6.43,347.4566,-14.5106
5716629,1,4,9.68,347.3957,-14.9913
5716636,1,4,8.68,347.4757,-15.0413
5717295,1,4,8.75,347.5652,-17.6415
5717323,1,4,8.00,347.5239,-17.4472
5717524,1,4,10.33,347.5347,-16.5171
5717594,1,4,8.48,347.5193,-16.1888
5717600,1,4,8.95,347.5445,-16.1569
5717915,1,4,9.44,347.5560,-14.8138
5719355,1,4,8.33,347.6336,-15.7303
5719757,1,4,8.51,347.6685,-17.5611
5724548,1,4,10.35,347.6601,-17.9528
5724922,1,4,8.81,347.7907,-15.9970
5725640,1,3,8.87,347.8470,-12.7574
5725649,1,3,8.60,347.8452,-12.7017
5725904,1,3,13.90,347.9662,-12.3238
5726510,1,4,8.91,347.9383,-15.3844
5726723,1,4,9.35,347.8792,-16.3080
5726857,1,4,8.31,347.9285,-16.9016
5727070,1,4,12.48,348.0579,-17.7651
5727198,1,4,9.33,348.0945,-17.1175
5727213,1,4,11.15,347.9918,-17.0330
5727284,1,4,9.69,348.0789,-16.6808
