#
# Full target list for orbit 13, sector 3
# Created Wed Sep 19 00:49:36 EDT 2018 
# Concatenation of GI astero exo bright DDT ppas lists
#
TICID,Camera,CCD,Tmag,RA,Dec
3804313,1,4,10.69,9.4226,-9.4437
3804499,1,4,10.08,9.4350,-8.2732
3804928,1,4,8.01,9.4873,-5.9980
3805191,1,4,9.34,9.5564,-7.4157
3805401,1,4,9.50,9.6138,-8.6218
3805444,1,4,9.05,9.5739,-8.8699
3805456,1,4,13.26,9.5901,-8.9406
3805766,1,4,10.01,9.5190,-10.7525
3805996,1,4,8.73,9.7170,-11.7838
3806094,1,4,10.55,9.6402,-11.2681
3806602,1,4,8.72,9.6332,-8.3121
3809763,1,4,9.48,9.8456,-7.2597
3810130,1,4,10.66,9.8357,-9.1764
3810543,1,4,9.93,9.8019,-11.4848
3810734,1,4,6.37,9.9314,-11.1514
3810779,1,4,12.77,9.9771,-10.8517
3811238,1,4,10.43,9.9895,-8.3259
3811504,1,4,9.75,9.9668,-7.0159
3811573,1,4,11.37,9.9432,-6.6526
3811891,1,4,10.12,10.0023,-7.1053
3811994,1,4,6.89,10.1024,-7.6572
3814749,1,4,9.71,10.0418,-8.9313
3814944,1,4,12.33,10.0970,-10.0672
3815360,1,4,8.52,10.1961,-11.3669
3815555,1,4,13.92,10.2211,-10.3251
3815618,1,4,8.11,10.2242,-9.9601
3815678,1,4,10.38,10.1997,-9.6145
3816082,1,4,9.59,10.1332,-7.4546
3816118,1,4,6.45,10.1978,-7.2332
3816149,1,4,11.98,10.1334,-7.0406
3816260,1,4,10.08,10.1351,-6.4810
3816310,1,4,10.18,10.2087,-6.2011
3816804,1,4,16.73,10.2347,-8.1544
3816966,1,4,15.21,10.3128,-9.1084
3817140,1,4,10.44,10.3161,-9.9108
3817250,1,4,9.65,10.2680,-10.4839
3817273,1,4,11.37,10.2733,-10.6332
3836148,1,4,12.46,10.4375,-10.2068
3836364,1,4,11.04,10.4282,-9.3210
3836541,1,4,8.99,10.3951,-8.4893
3837033,1,4,12.49,10.4910,-6.0204
3837071,1,4,8.30,10.5483,-6.2468
3837491,1,4,9.04,10.5640,-8.5506
3837565,1,4,9.56,10.5221,-8.9683
3837613,1,4,8.56,10.5706,-9.1680
3837741,1,4,5.27,10.5052,-9.6479
3838130,1,4,5.36,10.5611,-11.8050
3838194,1,4,8.33,10.7009,-11.7131
3838326,1,4,10.25,10.6838,-10.9494
3838333,1,4,12.13,10.6316,-10.9353
3838520,1,4,6.14,10.7113,-9.9218
3838589,1,4,10.50,10.6700,-9.6817
3886277,1,4,16.02,10.6589,-7.8318
3886331,1,4,10.63,10.6595,-7.5715
3886341,1,4,9.09,10.6617,-7.5364
3886485,1,4,8.41,10.6569,-6.8646
3887728,1,4,10.51,10.7226,-10.9493
3887989,1,4,13.00,10.9156,-11.4357
3888236,1,4,10.26,10.8581,-10.1730
3888273,1,4,14.87,10.9408,-10.0077
3888274,1,4,9.19,10.8743,-10.0002
3888419,1,4,8.44,10.8478,-9.3154
3888550,1,4,12.63,10.9465,-8.6521
3888769,1,4,8.46,10.9373,-7.5847
3892113,1,4,12.41,10.9940,-7.4019
3892139,1,4,8.76,10.9875,-7.5344
3892411,1,4,9.37,10.9870,-9.0525
3892473,1,4,8.79,10.9937,-9.4437
3892500,1,4,9.22,10.9953,-9.5864
3892732,1,4,10.01,10.9658,-10.6028
3892736,1,4,3.99,11.0475,-10.6102
3892819,1,4,10.55,11.0684,-10.9444
3892978,1,4,12.60,11.0183,-11.7486
3893018,1,4,11.94,11.1104,-11.8524
3893026,1,4,12.40,11.1457,-11.8121
3893033,1,4,14.47,11.1972,-11.7739
3893245,1,4,9.12,11.1639,-10.6336
3893757,1,4,9.57,11.1903,-8.2176
3893918,1,4,9.43,11.1330,-7.4454
3894043,1,4,10.85,11.1480,-6.8819
3894132,1,4,10.51,11.1621,-6.4509
3894223,1,4,10.40,11.1918,-6.0277
3894294,1,4,18.44,11.2770,-6.1423
3898095,1,4,11.96,11.2152,-11.8071
3898286,1,4,7.66,11.3926,-11.0957
3898365,1,4,10.45,11.3865,-10.6175
3898381,1,4,13.29,11.4461,-10.5435
3898553,1,4,8.15,11.3635,-9.5443
3899410,1,4,8.12,11.5674,-6.5662
3899738,1,4,8.09,11.5546,-8.3316
3899756,1,4,10.09,11.4652,-8.4199
3899820,1,4,9.67,11.5372,-8.7578
3900330,1,4,7.00,11.5567,-11.4526
3900382,1,4,10.05,11.4992,-11.7516
3900389,1,4,10.81,11.5062,-11.8172
3903450,1,4,9.55,11.5806,-9.4651
3903969,1,4,7.88,11.6152,-6.6851
3904057,1,4,9.43,11.6889,-6.3440
3904114,1,4,11.08,11.6799,-6.0251
3904188,1,4,9.78,11.7126,-6.0979
3904459,1,4,10.88,11.7719,-7.4073
3904966,1,4,8.71,11.7656,-9.9451
3905338,1,4,12.19,11.7638,-11.8720
3905394,1,4,10.26,11.9264,-11.6295
3905619,1,4,9.15,11.8588,-10.3895
3905906,1,4,15.27,11.8725,-8.8306
3921576,1,4,8.84,11.9334,-7.1541
3921723,1,4,9.06,11.8160,-6.5728
3921746,1,4,11.55,11.8239,-6.4789
3921749,1,4,10.73,11.8338,-6.4426
3922124,1,4,10.06,12.0384,-7.1824
3922373,1,4,9.61,11.9527,-8.4578
3922529,1,4,7.22,11.9900,-9.3454
3922848,1,4,8.20,12.0165,-10.8680
3923888,1,4,12.52,12.1173,-8.0150
3924509,1,4,14.23,12.1978,-7.0187
3956733,1,4,9.82,12.3006,-7.6091
3957254,1,4,9.94,12.2708,-10.3987
3957601,1,4,8.44,12.3518,-11.7537
3957786,1,4,9.51,12.4185,-10.8057
3957952,1,4,13.09,12.4008,-9.8694
3958039,1,4,10.39,12.3244,-9.5042
3958684,1,4,8.45,12.3115,-6.1701
3959201,1,4,8.61,12.4507,-7.9750
3959662,1,4,9.71,12.4725,-10.4987
3962869,1,4,4.86,12.5304,-10.6456
3963507,1,4,8.51,12.5678,-9.9062
3963565,1,4,13.31,12.6011,-9.6331
3963622,1,4,9.52,12.6288,-9.1968
3963794,1,4,10.58,12.5499,-8.3787
3964172,1,4,10.36,12.6494,-6.3876
3964218,1,4,8.89,12.5632,-6.1944
3964262,1,4,10.31,12.6157,-5.9195
3964905,1,4,8.60,12.7250,-9.0930
3964964,1,4,14.87,12.6671,-9.4295
3965041,1,4,10.21,12.7721,-9.8315
3965116,1,4,15.06,12.6937,-10.3020
3965310,1,4,9.49,12.7564,-11.3911
3965706,1,4,9.38,12.8505,-10.4231
3988159,1,4,10.50,12.8080,-9.9919
3988251,1,4,6.00,12.8327,-9.4055
3988436,1,4,10.23,12.8102,-8.5906
3988502,1,4,9.70,12.8249,-8.2973
3989045,1,4,7.95,12.9361,-6.1001
3989422,1,4,7.62,12.9608,-8.1656
3990144,1,4,8.71,13.0608,-11.8698
3990234,1,4,15.90,13.1113,-11.4834
3990356,1,4,8.90,13.1244,-10.8716
3990380,1,4,8.44,13.0747,-10.7307
3990402,1,4,11.04,13.0626,-10.6630
3990629,1,4,15.54,13.0646,-9.4051
4007712,1,4,8.04,13.0482,-6.0009
4008073,1,4,10.87,13.1595,-7.8858
4008098,1,4,14.43,13.1690,-7.9858
4008174,1,4,8.12,13.1946,-8.3244
4008295,1,4,9.29,13.2311,-8.9268
4008360,1,4,8.15,13.2496,-9.2840
7205109,2,1,14.71,32.0724,-42.5545
7205345,2,1,10.68,32.0433,-43.8758
7205427,2,1,9.12,32.0188,-44.3548
7218620,2,1,9.63,32.0768,-45.3316
7218781,3,2,8.05,32.0955,-46.3732
7219013,3,2,11.57,32.0234,-47.7760
7219134,3,2,8.61,32.2349,-47.2916
7219322,3,2,8.41,32.2501,-46.3702
7219418,2,1,11.32,32.2312,-45.8330
7219775,2,1,11.73,32.3024,-44.0585
7219818,2,1,10.16,32.1600,-43.8036
7219876,2,1,4.63,32.2884,-43.5169
7220124,2,1,12.02,32.1802,-42.2415
7220375,2,1,9.21,32.3988,-42.9566
7220471,2,1,9.36,32.4111,-43.4409
7220521,2,1,10.51,32.4192,-43.7130
7220880,2,1,7.01,32.3911,-45.4670
7220920,2,1,9.03,32.3794,-45.6812
7221186,3,2,10.36,32.3602,-47.0750
7221655,3,2,8.37,32.5449,-46.2324
7221735,2,1,10.75,32.4858,-45.7729
7222091,2,1,5.43,32.5204,-43.8156
7222485,2,1,10.16,32.6636,-42.0298
7222567,2,1,10.10,32.6538,-42.4580
7222624,2,1,8.54,32.7852,-42.7522
7222629,2,1,11.82,32.7397,-42.7801
7242264,2,1,9.52,32.6747,-44.4502
7242313,2,1,8.87,32.6424,-44.7988
7242537,3,2,10.28,32.7312,-46.0665
7242783,3,2,10.22,32.6880,-47.5657
7243102,3,2,7.79,32.8201,-46.5851
7243312,2,1,8.05,32.8715,-45.3508
7243548,2,1,10.56,32.8846,-44.1098
7243840,2,1,10.43,32.8394,-42.5930
7244124,2,1,9.19,33.0810,-42.9617
7244590,2,1,9.46,33.0329,-45.1996
7244844,3,2,7.28,33.0859,-46.8167
7244910,3,2,5.30,32.9761,-47.1705
7245376,3,2,10.18,33.2896,-46.2965
7245715,2,1,10.59,33.1748,-44.5169
7245720,2,1,7.51,33.1962,-44.4890
7245933,2,1,10.33,33.2580,-43.3527
7246745,2,1,13.11,33.5141,-45.0137
7246936,2,1,9.74,33.5128,-44.0797
7247721,2,1,10.43,33.7752,-43.9387
7262234,2,1,8.52,33.6627,-44.5610
7262549,3,2,10.62,33.6411,-46.2879
7263536,2,1,10.44,33.8157,-44.0604
7263621,2,1,8.36,33.8880,-43.6752
7264230,2,1,10.08,34.0420,-43.4288
7264479,2,1,8.60,33.9620,-44.7376
7264719,3,2,10.59,33.9588,-46.0696
7264756,3,2,10.21,34.0115,-46.2568
7264867,3,2,8.14,34.0279,-46.8845
7295611,2,1,10.78,34.3915,-44.5127
7296224,3,2,10.39,34.3790,-47.7903
7315512,2,1,10.70,34.5160,-44.0894
7315661,2,1,10.28,34.5575,-43.2795
7316686,3,2,9.86,34.7143,-46.2710
7317423,3,2,8.02,34.8615,-45.6651
7318423,2,1,9.93,34.9291,-43.8251
7318424,2,1,12.12,34.9740,-43.8331
7318440,2,1,9.73,35.0415,-43.9088
7319369,3,2,7.30,35.0958,-46.9242
7319744,2,1,13.19,35.1019,-44.5579
10755831,1,4,8.96,9.2087,-11.6643
10756327,1,4,9.60,9.2528,-8.6695
10756492,1,4,8.44,9.1926,-7.6417
10756658,1,4,7.64,9.2342,-6.5645
10756718,1,4,7.89,9.2380,-6.1121
10756751,1,4,9.44,9.2297,-5.8740
10761392,1,4,13.11,9.3692,-6.9295
10761573,1,4,9.76,9.3820,-7.8647
10761932,1,4,10.64,9.3518,-10.2630
10762219,1,1,11.55,12.2204,-17.6406
10762631,1,1,12.18,12.1665,-15.1612
10762725,1,1,9.72,12.2699,-14.6325
10763017,1,4,12.93,12.2775,-12.6523
10763168,1,4,8.44,12.4041,-12.2051
10763364,1,4,4.66,12.3572,-13.5619
10763822,1,1,9.47,12.2886,-16.3892
10784515,1,1,13.88,12.3911,-16.9171
10784824,1,1,10.47,15.4946,-17.0422
10784919,1,1,9.37,15.3988,-16.5248
10784960,1,1,5.82,15.4114,-16.2660
10785133,1,1,10.36,15.5150,-15.2626
10785357,1,1,8.16,15.4740,-14.1309
10786074,1,3,8.93,19.8623,-8.0985
10786206,1,3,9.58,19.9044,-8.7106
10786436,1,3,8.48,19.9666,-9.9758
10786538,1,3,9.04,19.8786,-10.6765
10787002,1,3,11.50,20.0766,-10.4273
10787084,1,3,6.26,20.0126,-9.8842
10787132,1,3,12.16,20.0757,-9.5680
10801547,1,3,9.16,20.1722,-6.2283
10802131,1,3,12.35,20.1934,-9.5597
10802156,1,3,9.89,20.2038,-9.7244
10802452,1,2,7.69,20.1351,-11.4684
10802503,1,2,8.53,20.1690,-11.7797
10803257,1,3,10.36,20.2967,-7.2443
10818748,1,3,8.84,20.3566,-7.0634
10818907,1,3,8.79,20.3555,-8.0012
10818987,1,3,10.48,20.4204,-8.4298
10819021,1,3,8.57,20.4126,-8.6243
10819194,1,3,9.39,20.4170,-9.6718
10819231,1,3,11.23,20.3731,-9.9750
10819505,1,2,8.76,20.3955,-11.5826
10819945,1,3,8.82,20.4966,-9.4579
10820352,1,3,8.64,20.5755,-7.0942
10820870,1,3,9.15,20.6937,-7.9310
10820974,1,3,9.40,20.6572,-8.5100
10835598,1,2,12.61,20.7358,-11.9505
10835890,1,3,11.00,20.7839,-10.1131
10837554,1,2,9.47,20.8332,-11.5220
10837653,1,2,11.98,20.9458,-11.6183
10837688,1,2,8.72,20.9560,-11.4049
10837961,1,3,8.08,21.0144,-9.8120
10838083,1,3,13.89,20.9898,-9.1781
10838226,1,3,2.74,21.0055,-8.1843
10838265,1,3,6.02,21.0115,-8.0078
10838312,1,3,10.38,20.9962,-7.7108
10838521,1,3,11.29,21.0272,-6.2548
10838695,1,3,10.05,25.2530,-6.7263
10838757,1,3,9.17,25.2750,-7.0803
10838833,1,3,9.68,25.2140,-7.4979
10839173,1,2,8.43,25.3228,-9.3717
10839300,1,2,10.34,25.2633,-10.1303
10839454,1,2,16.20,25.3123,-11.0345
10839729,1,2,5.82,25.4372,-11.3269
10840944,1,3,14.97,25.4464,-8.0855
10841184,1,2,10.03,25.4814,-9.5056
10841335,1,2,8.98,25.5634,-10.2820
10841464,1,2,8.41,25.5531,-11.1068
10841608,1,2,10.50,25.6382,-11.9160
10841775,1,2,10.02,25.6099,-10.8757
10842451,1,3,7.84,25.5982,-6.7551
10842927,1,3,9.43,25.7843,-7.7761
10842945,1,3,8.89,25.7140,-7.8662
10843204,1,2,9.79,25.7015,-9.5225
10843309,1,2,11.40,25.8020,-10.1226
10862031,1,2,9.23,25.7009,-11.5224
10862099,1,2,13.13,25.9181,-11.8244
10862151,1,2,8.57,25.8842,-11.4145
10862194,1,2,8.37,25.8347,-11.0770
10862858,1,3,8.02,25.8407,-7.0867
10862859,1,3,7.64,25.8434,-7.0771
10862913,1,3,8.64,25.8865,-6.7108
10862929,1,3,15.60,25.8588,-6.6184
10863087,1,3,10.36,25.9384,-6.0447
10863225,1,3,10.20,25.9947,-6.9135
10863314,1,3,7.70,25.9691,-7.4796
10863515,1,2,8.65,26.0513,-8.6214
10863857,1,2,9.87,25.9488,-10.6176
10864081,1,2,7.72,26.1650,-11.6562
10864129,1,2,6.86,26.1066,-11.2975
10864406,1,2,8.48,26.1361,-9.6098
10879648,1,3,5.70,26.1820,-6.7662
10880161,1,2,12.54,26.2516,-9.6459
10880783,1,2,8.72,26.3973,-10.2796
10880919,1,2,10.55,26.4116,-9.3833
10930047,1,2,9.43,26.4587,-9.3443
10930332,1,2,10.18,26.5211,-11.0892
10930367,1,2,8.96,26.4620,-11.3319
11487334,2,4,11.58,17.6671,-28.2313
11487963,1,1,10.46,17.7736,-23.9940
11488299,2,4,9.17,17.9303,-25.9581
11488466,2,4,8.34,17.8691,-27.1254
11488935,2,4,8.10,17.9378,-29.9344
11489179,2,4,10.41,17.9823,-28.7138
11489305,2,4,10.40,17.9400,-27.9383
11489536,2,4,9.71,17.9606,-26.3570
11489563,2,4,13.45,18.0487,-26.2244
11518056,1,1,10.40,18.1182,-24.0031
11518057,1,1,9.44,18.1176,-24.0039
11518255,2,4,8.20,18.1929,-25.2355
11518850,2,4,8.33,18.1177,-29.0492
11518868,2,4,7.94,18.1697,-29.1797
11519020,2,4,8.64,18.2407,-29.6939
11519779,1,1,11.64,18.2615,-24.7717
11519781,1,1,12.04,18.2487,-24.7679
11527825,2,4,10.17,18.5763,-27.2290
11528057,2,4,9.54,18.5210,-25.7381
11528214,2,4,10.27,18.4883,-24.7960
11528274,1,1,8.64,18.5365,-24.4035
11528292,1,1,8.74,18.5821,-24.3017
11528641,2,4,10.47,18.6036,-25.4078
11529003,2,4,8.23,18.6121,-27.8089
11529230,2,4,8.49,18.6967,-29.3902
11529381,2,4,9.04,18.8197,-29.5748
11543625,2,4,8.52,18.8277,-28.2554
11544033,2,4,15.30,18.8413,-25.9356
11545046,2,4,8.56,18.8731,-28.2650
11545077,2,4,10.84,18.9210,-28.5253
11545988,2,4,14.90,19.0467,-26.0470
11546041,2,4,11.66,19.0024,-25.7093
11546111,2,4,10.62,19.0217,-25.2868
11554309,2,4,10.74,19.1506,-26.5155
11554609,2,4,11.22,19.1368,-28.3554
11555343,2,4,11.48,19.2948,-26.8079
11555532,2,4,13.69,19.3372,-25.6594
11555687,2,4,9.74,19.2827,-24.6100
11556042,2,4,11.10,19.4750,-25.4329
11556319,2,4,8.63,19.4047,-27.0123
11556501,2,4,8.77,19.4286,-28.1988
11556933,2,4,9.46,19.6177,-29.2738
11557059,2,4,6.96,19.6348,-28.7329
11557124,2,4,9.90,19.6304,-28.4144
11557267,2,4,9.91,19.5469,-27.6052
11557292,2,4,14.53,19.5288,-27.4842
11557436,2,4,8.59,19.5433,-26.8625
11557550,2,4,10.94,19.6028,-26.1888
11558147,2,4,16.03,19.7638,-25.4859
11558187,2,4,10.06,19.6588,-25.8184
11558204,2,4,8.00,19.6588,-25.8988
11558243,2,4,9.22,19.6856,-26.1734
11558313,2,4,7.67,19.6857,-26.5007
11558750,2,4,8.94,19.7143,-28.8692
11558794,2,4,8.35,19.7426,-29.1880
11558940,2,4,8.66,19.7357,-29.9588
11568164,2,4,8.39,19.8750,-28.0733
11568200,2,4,12.70,19.8463,-27.9185
11568464,2,4,10.02,19.8642,-26.0618
11568517,2,4,9.34,19.8685,-25.6638
11568554,2,4,12.51,19.8332,-25.4321
11568561,2,4,9.85,19.9127,-25.3907
11568630,2,4,7.76,19.8710,-24.9518
11568694,2,4,10.42,19.8212,-24.4940
11568784,1,1,9.78,19.9129,-23.9866
11568829,2,4,8.99,20.0245,-24.1771
11569027,2,4,10.20,19.9749,-25.1804
11569099,2,4,10.29,19.9668,-25.5961
11569361,2,4,10.31,19.9993,-27.2062
11569396,2,4,11.55,19.9652,-27.4443
11569564,2,4,9.36,20.0556,-28.5417
11569594,2,4,10.62,19.9661,-28.8085
11569869,2,4,8.15,20.1025,-29.5999
11570264,2,4,9.93,20.0591,-27.3273
11570377,2,4,8.89,20.1334,-26.7488
11597126,2,4,9.24,20.1993,-24.5546
11597388,2,4,11.58,20.2835,-26.1432
11598102,2,4,9.84,20.3874,-29.1313
11598394,2,4,11.52,20.4455,-27.4204
11598511,2,4,8.55,20.4278,-26.6682
11598549,2,4,10.98,20.3244,-26.4285
11598971,2,4,7.68,20.4448,-24.1279
11599080,2,4,8.81,20.5409,-24.3662
11599308,2,4,11.84,20.5557,-25.5407
11613036,2,4,9.25,20.4753,-26.7084
11613065,2,4,7.83,20.5314,-26.8943
11613413,2,4,10.86,20.5089,-29.1786
11613676,2,4,10.44,20.6316,-29.4377
11614155,2,4,10.34,20.5954,-26.6952
11614280,2,4,13.69,20.7152,-25.9388
11614297,2,4,10.61,20.6838,-25.7854
11614357,2,4,8.30,20.6806,-25.4202
11614485,2,4,11.58,20.7129,-24.6647
11615061,2,4,9.86,20.7693,-26.8331
11615127,2,4,9.04,20.8441,-27.2151
