#
# Full target list for orbit 15, sector 4
# Created Fri Oct 19 16:13:13 EDT 2018 
# Concatenation of GI astero exo bright DDT ppas lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1024991,1,1,12.13,33.7167,-11.1770
1025149,1,1,10.59,33.6341,-10.2821
1025574,1,1,8.97,33.6873,-7.5572
1028584,1,1,12.25,33.7035,-6.1893
1028594,1,1,7.93,33.7179,-6.1060
1028614,1,1,9.23,33.6505,-5.9421
1028751,1,1,8.27,33.7315,-6.6506
1028816,1,1,8.43,33.8389,-7.1263
1029392,1,1,10.34,33.8122,-10.8003
1029624,1,1,9.21,33.9226,-11.6998
1030078,1,1,8.29,33.9240,-9.0131
1030288,1,1,9.73,33.9222,-7.4645
1030555,1,1,10.55,33.9748,-6.0969
1030783,1,1,9.05,34.0353,-7.4675
1030997,1,1,8.83,34.0279,-8.9046
1031299,1,1,9.86,33.9962,-9.4870
1031383,1,1,6.34,34.0675,-9.8214
1031405,1,1,8.84,34.0194,-9.8756
1031795,1,1,10.20,34.0662,-10.8919
1032061,1,1,10.13,34.0710,-11.6705
1032159,1,1,8.67,34.1325,-11.8775
1033222,1,1,9.68,34.1773,-8.7123
1033534,1,1,9.63,34.1722,-7.7672
1034117,1,1,10.86,34.1996,-6.1997
1034145,1,1,9.86,34.2080,-6.1176
1034263,1,1,12.96,34.2615,-6.0465
1034389,1,1,4.73,34.2465,-6.4226
1034432,1,1,7.30,34.2390,-6.5783
1034756,1,1,9.01,34.2107,-7.6543
1034832,1,1,11.21,34.3105,-7.8445
1035472,1,1,12.47,34.2581,-9.4765
1035713,1,1,9.14,34.2551,-10.2835
1036309,1,1,9.82,34.3999,-11.9385
1045149,1,1,9.75,34.3805,-9.1644
1045151,1,1,10.89,34.3878,-9.1349
1045298,1,1,10.74,34.4268,-8.2775
1045390,1,1,10.19,34.4337,-7.6999
1045529,1,1,9.97,34.4415,-6.9295
1045665,1,1,9.51,34.3357,-6.0475
1045737,1,1,12.14,34.4959,-6.1988
1046434,1,1,10.10,34.5213,-10.3638
1068962,1,1,9.91,35.6473,-8.1531
1097888,1,1,9.20,35.7291,-6.6104
1098402,1,1,8.79,35.7334,-9.7488
1099199,1,1,10.13,35.7945,-9.6703
1099498,1,1,10.78,35.8746,-8.1053
1099825,1,1,9.19,35.8356,-6.2547
1099837,1,1,6.72,35.8424,-6.1929
1100206,1,1,10.90,35.9959,-7.7399
1111760,1,1,13.17,36.0043,-10.6529
1111838,1,1,10.22,36.0334,-10.9804
1111971,1,1,11.24,35.9918,-11.9082
1112323,1,1,10.07,36.0567,-9.8007
1112513,1,1,8.19,36.0718,-8.6094
1112635,1,1,9.05,36.1428,-7.9001
1112740,1,1,7.60,36.0395,-7.4057
1112837,1,1,10.08,36.1100,-6.9077
1112868,1,1,8.80,36.1108,-6.7285
1113193,1,1,9.21,36.2719,-6.8621
1113595,1,1,8.27,36.2164,-9.0123
1114066,1,1,8.74,36.1615,-11.8301
1114115,1,1,10.68,36.3901,-11.7844
1114132,1,1,12.74,36.3704,-11.7099
1114345,1,1,8.34,36.2987,-10.4737
1114381,1,1,10.80,36.3455,-10.2882
1117070,1,1,8.17,36.3061,-9.6000
1117332,1,1,8.65,36.3500,-8.2324
1117953,1,1,9.76,36.4900,-6.9762
1118180,1,1,10.20,36.5048,-8.2246
1118436,1,1,10.03,36.4181,-9.6825
1118463,1,1,7.72,36.4739,-9.9023
1118593,1,1,7.64,36.4575,-10.6270
1118965,1,1,13.32,36.5553,-11.0642
1119071,1,1,8.00,36.6234,-10.5178
1119096,1,1,10.36,36.5280,-10.3786
1119355,1,1,8.80,36.6274,-8.9147
1119844,1,1,13.42,36.6272,-6.1262
1119847,1,1,10.70,36.6419,-6.1054
1122511,1,1,8.04,36.6666,-6.9863
1122660,1,1,9.68,36.7433,-7.8333
1123472,1,1,8.83,36.8708,-11.1464
1123659,1,1,10.36,36.8558,-10.1481
1123858,1,1,9.44,36.8429,-8.8592
1124221,1,1,11.58,36.8431,-6.5743
1124571,1,1,9.12,36.9931,-7.2039
1124725,1,1,9.95,36.9822,-8.3268
1124730,1,1,9.28,36.9619,-8.3323
1127460,1,1,8.11,36.9274,-9.8053
1127571,1,1,9.55,36.9808,-10.4626
1127591,1,1,10.48,36.8866,-10.5455
1128207,1,1,10.51,37.0903,-9.7509
1128270,1,1,9.15,37.0786,-9.4039
1128333,1,1,11.98,37.0294,-9.0241
1128548,1,1,10.04,37.0892,-7.6461
1128676,1,1,12.49,37.0209,-6.8188
1129033,1,1,9.50,37.1556,-7.0607
1129165,1,1,9.79,37.2062,-7.9277
1129237,1,1,11.60,37.1353,-8.3584
1129300,1,1,8.24,37.1809,-8.7532
1129343,1,1,10.65,37.1431,-9.0044
1129452,1,1,8.50,37.1654,-9.5959
1129485,1,1,8.48,37.1499,-9.7253
1129777,1,1,6.65,37.1940,-11.3470
1130183,1,1,11.44,37.3095,-10.1648
1149120,1,1,10.19,37.3529,-9.9014
1149409,1,1,10.82,37.2519,-8.0723
1149450,1,1,12.62,37.2866,-7.7991
1149866,1,1,9.75,37.4533,-6.6410
1150363,1,1,10.69,37.4185,-9.8490
1150453,1,1,14.56,37.4565,-10.3394
1196529,3,1,8.40,71.1049,-35.7310
4620148,1,1,10.18,37.5281,-10.2062
4620388,1,1,9.73,37.6151,-8.9838
4620841,1,1,8.68,37.5904,-6.3298
4621283,1,1,8.03,37.7311,-7.9979
4621404,1,1,9.77,37.7092,-8.7550
4621516,1,1,9.80,37.6909,-9.4107
4627415,1,1,10.79,37.8052,-11.7618
4627817,1,1,10.26,37.7433,-9.4504
4628014,1,1,13.18,37.8564,-8.3631
4628792,1,1,9.03,37.8974,-7.5925
4628861,1,1,9.87,37.9700,-7.9781
4628910,1,1,10.61,37.8989,-8.2735
4629065,1,1,10.80,37.8743,-9.0593
4629440,1,1,10.76,37.8884,-10.8052
4629480,1,1,8.82,37.8794,-11.0100
4629498,1,1,10.29,37.9278,-11.0501
4629624,1,1,13.13,37.9123,-11.8060
4645155,1,1,8.99,38.0930,-7.7932
4645276,1,1,8.19,38.0793,-7.1694
4645450,1,1,9.61,37.9820,-6.1433
4645470,1,1,11.92,38.0841,-6.0421
4645498,1,1,8.88,38.0357,-5.8769
4645641,1,1,9.08,38.1229,-6.7450
4645762,1,1,14.10,38.2169,-7.4152
4645769,1,1,10.60,38.1843,-7.4682
4645952,1,1,9.76,38.1636,-8.4860
4645960,1,1,12.53,38.2189,-8.5538
4646031,1,1,8.89,38.1026,-8.9619
4646310,1,1,8.30,38.2159,-10.6404
4646638,1,1,9.29,38.3280,-11.3266
4646789,1,1,8.16,38.2319,-10.4806
4646810,1,1,8.82,38.2711,-10.3523
4647063,1,1,9.61,38.3447,-9.0054
4647125,1,1,8.10,38.2307,-8.7004
4647381,1,1,10.26,38.2897,-7.1804
4671422,1,1,9.96,38.3422,-6.9588
4671436,1,1,9.35,38.2977,-6.8734
4671860,1,1,15.05,38.4551,-7.2602
4672084,1,1,12.57,38.3681,-8.4883
4672319,1,1,9.80,38.4541,-9.7055
4672401,1,1,12.25,38.4149,-10.1953
4672436,1,1,12.55,38.4627,-10.3732
4673273,1,1,10.43,38.5106,-9.0223
4673540,1,1,12.46,38.5035,-7.5874
4673917,1,1,8.47,38.5968,-6.3056
4674183,1,1,4.41,38.6779,-7.8598
4696898,1,1,10.24,38.6472,-10.0694
4697459,1,1,10.21,38.8055,-10.9019
4698156,1,1,10.97,38.7202,-7.2845
4698249,1,1,9.79,38.7790,-6.7530
4698362,1,1,9.89,38.8301,-6.1500
4698660,1,1,10.89,38.9030,-7.0148
4698795,1,1,9.96,38.8659,-7.7481
4698995,1,1,9.95,38.8456,-8.7243
4699010,1,1,9.29,38.9288,-8.7868
4699111,1,1,7.12,38.8520,-9.3508
4714999,1,1,8.99,38.9050,-11.9306
4715186,1,1,10.11,39.0247,-10.9655
4715197,1,1,9.21,39.0324,-10.9190
4715644,1,1,8.41,38.9688,-8.5655
4715683,1,1,10.52,38.9879,-8.3480
4715787,1,1,3.70,39.0001,-7.8319
4715820,1,1,12.75,38.9576,-7.6521
4715901,1,1,14.92,38.9581,-7.1889
4715999,1,1,12.89,39.0426,-6.7066
4716222,1,1,10.07,39.1941,-6.1133
4716922,1,1,11.47,39.1732,-9.7404
4717183,1,1,9.69,39.1507,-11.2206
4717468,1,1,7.36,39.2862,-11.1974
4717533,1,1,9.20,39.2774,-10.8213
4717790,1,1,8.85,39.2814,-9.4254
4717861,1,1,9.25,39.2554,-9.1021
4720694,1,1,8.20,39.2375,-8.3433
4720983,1,1,9.93,39.2279,-6.8564
4721045,1,1,13.25,39.2386,-6.5816
4721315,1,1,10.14,39.4327,-6.6563
4722002,1,1,10.85,39.3667,-10.5282
4722317,1,1,9.07,39.4896,-11.7448
4723013,1,1,12.71,39.4725,-7.8758
4723138,1,1,10.33,39.4996,-7.1886
4723156,1,1,12.71,39.4427,-7.0990
4723368,1,1,8.89,39.5788,-5.9745
4741056,1,1,8.26,39.6504,-7.5302
4741329,1,1,13.34,39.6453,-9.1240
4741335,1,1,13.56,39.6516,-9.1460
4741448,1,1,10.75,39.6084,-9.6350
4741840,1,1,9.14,39.6034,-11.6666
4741894,1,1,12.60,39.7327,-11.9333
4741962,1,1,8.39,39.7949,-11.5367
4741966,1,1,12.45,39.7701,-11.5117
4742061,1,1,10.16,39.8018,-10.9379
4742129,1,1,11.09,39.7864,-10.4634
4742173,1,1,11.59,39.7451,-10.2706
4742248,1,1,5.72,39.7871,-9.8314
4742308,1,1,8.20,39.7861,-9.5302
4742417,1,1,6.43,39.7547,-8.9282
4742444,1,1,9.87,39.7269,-8.7790
4742521,1,1,9.08,39.7362,-8.3855
4742869,1,1,10.47,39.7893,-6.3346
4743343,1,1,10.31,39.8696,-8.0445
4743395,1,1,8.74,39.8342,-8.2486
4743571,1,1,15.71,39.8687,-9.1178
4746221,1,1,7.43,39.8221,-11.7480
4746245,1,1,4.46,39.8919,-11.8733
4746459,1,1,10.78,39.9901,-10.8642
4746535,1,1,12.72,40.0060,-10.4467
4746983,1,1,9.59,39.9838,-7.9752
4747562,1,1,9.75,40.1647,-6.8768
4748040,1,1,5.39,40.0510,-9.4533
4748090,1,1,13.02,40.1171,-9.7248
4824324,1,1,12.62,40.2077,-10.4870
4824495,1,1,10.49,40.2623,-9.4573
7320221,3,4,9.44,80.3046,-47.7553
7320468,3,4,9.84,80.1663,-47.0207
7320562,3,4,8.56,80.2338,-46.6492
7320573,3,4,10.58,80.2303,-46.6181
7320873,3,4,10.64,80.2057,-45.6916
7320947,3,4,10.28,80.1647,-45.4498
7323195,3,4,7.99,80.3590,-45.3411
7324247,3,4,8.07,80.5508,-47.0486
7324506,3,4,8.66,80.5399,-46.2798
7324894,3,4,8.52,80.5018,-45.0912
7392944,3,4,10.86,80.7975,-47.3880
7393488,3,4,9.49,80.9308,-46.8256
7393620,3,4,9.45,80.8820,-46.4518
7393819,3,4,8.15,80.9000,-45.7795
7418812,3,4,12.61,81.0689,-45.7934
7418947,3,4,10.18,81.0615,-46.2169
7419313,3,4,7.59,81.0220,-47.3408
7419571,3,4,10.69,81.2489,-47.7530
7422948,3,4,9.07,81.3476,-45.7354
7423389,3,4,7.71,81.3461,-47.0941
7424133,3,4,10.48,81.6052,-46.6382
7424174,3,4,9.98,81.5237,-46.4894
7447512,3,4,9.59,81.9433,-47.2194
7447644,3,4,10.85,81.8456,-46.8270
7466587,3,4,10.21,82.0862,-47.7855
7491169,3,4,10.05,82.2468,-47.1100
7491362,3,4,8.27,82.1978,-46.5457
7491381,3,4,9.92,82.2140,-46.4719
7494391,3,4,9.74,82.3302,-46.5702
7494431,3,4,8.64,82.4288,-46.7019
7585910,3,1,8.76,63.5836,-40.8144
7585925,3,1,8.75,63.7064,-40.7544
7585952,3,1,11.15,63.5885,-40.6620
7585991,3,1,9.77,63.6834,-40.4781
7586053,3,1,10.84,63.6827,-40.2322
7586485,3,1,8.49,63.5943,-38.3171
7586502,3,1,6.01,63.5830,-38.2598
7586735,3,1,11.02,63.6632,-37.2299
7586755,3,1,10.90,63.6633,-37.1705
7586766,3,1,10.72,63.6902,-37.1306
7586796,3,1,9.24,63.5906,-36.9834
7586908,3,1,10.60,63.6930,-36.4771
7597498,3,1,11.23,63.8532,-39.1961
7597696,3,1,7.78,63.7608,-40.0549
7598451,3,1,16.24,64.0122,-40.5367
7598509,3,1,9.59,63.9073,-40.3013
7598577,3,1,10.89,63.9738,-39.9955
7599403,3,1,10.31,63.9814,-36.2060
7599558,3,1,9.61,64.0568,-36.3489
7599631,3,1,8.47,64.1527,-36.6556
7600099,3,1,6.97,64.1215,-38.8844
7600145,3,1,14.35,64.1078,-39.1428
7623047,3,1,8.09,64.0249,-39.6199
7623099,3,1,11.64,64.0458,-39.9052
7623272,3,1,10.08,64.1379,-40.7354
7623299,3,1,8.21,64.1353,-40.8538
7623645,3,1,9.41,64.1898,-41.3631
7624182,3,1,8.77,64.3115,-38.8442
7624614,3,1,9.19,64.2527,-36.7532
7624661,3,1,9.81,64.2369,-36.5644
7624800,3,1,9.07,64.4216,-35.9666
7624817,3,1,10.31,64.3975,-36.0326
7625001,3,1,8.31,64.3347,-36.8501
7625199,3,1,11.25,64.4165,-37.7737
7625451,3,1,10.19,64.3679,-38.9261
7625917,3,1,10.13,64.4529,-41.1249
7647297,3,1,10.08,64.5555,-40.6495
7647422,3,1,10.19,64.5463,-40.1115
7647438,3,1,10.13,64.4757,-40.0318
