#
# Full target list for orbit 17, sector 5
# Created Thu Nov 15 09:18:21 EST 2018 
# Concatenation of GI astero exo bright DDT ppas lists
#
TICID,Camera,CCD,Tmag,RA,Dec
589445,2,1,10.48,71.6467,-29.5239
589656,2,1,11.23,71.6772,-28.7061
589826,2,1,6.01,71.6073,-28.0873
589858,2,1,10.91,71.7006,-27.9719
589906,2,1,8.41,71.6601,-27.7681
590140,2,1,9.41,71.5816,-26.8781
590174,2,1,9.24,71.6726,-26.7560
590241,2,1,12.88,71.6422,-26.4655
590274,2,1,7.47,71.7065,-26.3025
590381,2,1,10.77,71.6451,-25.8876
591606,2,1,12.67,71.7455,-25.9902
591919,2,1,12.07,71.7480,-27.1776
592590,2,1,10.21,71.7533,-29.5929
592638,2,1,8.19,71.7569,-29.7614
592812,2,1,12.61,71.8655,-29.4344
593228,2,1,9.30,71.8469,-27.8424
593230,2,1,8.04,71.8448,-27.8407
593544,2,1,8.63,71.8569,-26.7719
595673,2,1,9.69,71.9848,-28.1595
595699,2,1,10.26,72.1011,-28.2613
607143,2,1,9.95,72.0458,-28.8111
607150,2,1,10.29,72.0322,-28.8379
607316,2,1,9.90,72.0448,-29.3526
607581,2,1,13.10,72.1598,-29.6601
607907,2,1,8.38,72.1201,-28.4190
610597,2,1,15.09,72.2828,-28.4312
610680,2,1,8.19,72.2409,-28.7236
612870,2,2,12.85,72.6368,-24.2227
612908,2,2,7.03,72.5746,-24.3689
624091,2,2,12.50,72.8269,-25.0593
626744,2,2,9.96,72.9419,-25.0549
626958,2,2,10.79,72.9626,-24.2421
627018,2,2,12.05,72.9426,-24.0028
627296,2,2,8.44,73.0980,-24.7611
627436,2,2,11.62,73.0473,-25.1940
663252,2,2,10.56,73.1168,-25.6726
663341,2,2,8.57,73.1451,-25.9951
663556,2,2,11.61,73.1476,-26.7634
663566,2,2,13.42,73.1454,-26.7778
663652,2,2,8.56,73.0422,-27.0643
663735,2,2,12.82,73.1662,-27.3069
664666,2,2,11.62,73.2939,-28.9706
664762,2,2,13.91,73.2814,-28.6984
664767,2,2,9.28,73.2645,-28.6871
665048,2,2,10.50,73.2217,-27.6784
665153,2,2,11.36,73.2294,-27.3113
665445,2,2,11.60,73.2519,-26.2720
665608,2,2,7.33,73.1728,-25.7754
666033,2,2,9.00,73.2590,-24.2413
666387,2,2,10.07,73.3830,-24.8219
666475,2,2,8.66,73.3865,-25.1527
666568,2,2,10.75,73.3076,-25.4768
666723,2,2,11.81,73.3261,-25.9789
667003,2,2,12.56,73.3986,-26.8946
667189,2,2,9.82,73.3284,-27.6132
671393,2,2,11.99,73.4004,-28.5931
671490,2,2,9.58,73.3610,-28.8739
671564,2,2,11.71,73.4088,-29.1102
671848,2,2,10.70,73.5265,-29.6995
672060,2,2,8.90,73.4518,-28.9853
672624,2,2,8.08,73.5055,-27.0564
672787,2,2,8.02,73.4570,-26.4292
674223,2,2,10.06,73.6974,-26.2219
674567,2,2,9.45,73.6187,-27.2740
674571,2,2,10.39,73.6729,-27.2955
674714,2,2,10.59,73.5829,-27.8891
674797,2,2,9.04,73.6071,-28.1664
675036,2,2,9.30,73.6690,-28.9586
675056,2,2,8.71,73.6893,-29.0183
675445,2,2,8.34,73.7061,-29.5617
680840,2,2,11.10,73.8044,-24.7187
681678,2,2,6.47,73.8758,-25.7277
682491,2,2,7.05,73.9257,-28.5651
682778,2,2,14.77,73.8997,-29.4829
683071,2,2,8.30,74.0371,-29.4635
684070,2,2,10.21,74.0874,-25.8819
709291,2,2,11.54,74.0601,-25.0674
709603,2,2,8.22,74.0518,-24.1465
709667,2,2,10.37,73.9898,-23.9377
709805,2,2,10.75,74.1961,-24.3239
710020,2,2,10.11,74.1004,-25.0710
710187,2,2,8.59,74.1013,-25.6416
710490,2,2,9.34,74.2291,-26.6747
710783,2,2,12.58,74.1485,-27.6802
710901,2,2,13.24,74.1020,-28.0533
711914,2,2,14.38,74.3058,-28.1313
711946,2,2,10.20,74.2484,-28.0635
712040,2,2,9.65,74.3142,-27.7385
712616,2,2,11.48,74.2898,-25.7398
712799,2,2,9.70,74.2588,-25.0790
736553,2,2,11.52,74.4122,-26.3327
737047,2,2,9.39,74.4185,-28.1393
737235,2,2,11.99,74.4248,-28.8815
737327,2,2,9.10,74.3701,-29.1630
737546,2,2,10.46,74.5151,-29.9330
738269,2,2,8.97,74.5134,-27.1723
739834,2,2,11.86,74.7571,-26.0723
740069,2,2,8.09,74.6323,-26.9271
740112,2,2,8.78,74.6429,-27.0646
740297,2,2,10.28,74.6564,-27.8087
767483,2,2,10.68,74.6642,-28.7386
767526,2,2,5.45,74.6384,-28.8878
767658,2,2,13.16,74.6798,-29.4007
767821,2,2,12.40,74.8577,-29.7906
767922,2,2,10.91,74.8851,-29.4028
768307,2,2,9.18,74.7741,-28.0292
768859,2,2,10.39,74.7828,-26.0186
770004,2,2,8.02,74.8995,-25.3694
770053,2,2,9.52,74.9827,-25.5147
770458,2,2,9.31,75.0034,-26.9056
770461,2,2,12.48,74.9024,-26.9352
770547,2,2,9.38,74.9557,-27.2112
770554,2,2,15.11,74.9342,-27.2432
770660,2,2,8.11,74.9016,-27.6095
770729,2,2,8.59,75.0110,-27.8322
770934,2,2,9.75,74.9414,-28.6204
771375,2,2,13.29,75.0583,-29.5595
775434,2,2,9.43,75.1105,-29.0373
775642,2,2,8.64,75.0411,-28.2530
776194,2,2,9.50,75.1003,-26.3240
776848,2,2,10.61,75.0628,-24.3725
777309,2,2,12.49,75.1974,-24.8635
778175,2,2,9.63,75.1868,-27.4815
778852,2,2,13.86,75.2267,-29.6894
1167125,3,2,10.26,70.8976,-33.4882
1167254,3,2,11.23,70.9346,-32.9854
1167318,3,2,9.55,70.9885,-32.7852
1167538,2,1,10.00,70.9976,-31.9067
1168117,2,1,15.98,71.1219,-30.3621
1196016,3,2,9.35,71.0910,-33.5183
1196437,3,2,15.10,71.1137,-35.2962
1196529,3,2,8.40,71.1049,-35.7310
1196693,3,2,9.48,71.1669,-35.4376
1196779,3,2,8.58,71.1744,-35.0329
1196984,3,2,10.91,71.1763,-34.1462
1197237,3,2,7.63,71.2821,-33.0310
1197275,3,2,9.34,71.2050,-32.8781
1197571,2,1,10.46,71.2290,-31.7207
1197754,2,1,8.33,71.2838,-30.9411
1198684,3,2,10.75,71.3545,-32.5714
1198751,3,2,9.19,71.4155,-32.9028
1198904,3,2,10.61,71.3813,-33.4220
1198988,3,2,16.05,71.4285,-33.8057
1219107,3,2,10.39,71.4563,-33.7085
1219141,3,2,8.99,71.5274,-33.6475
1219998,2,1,9.36,71.4707,-31.5294
1220362,2,1,15.14,71.4745,-30.8057
1220444,2,1,8.96,71.5275,-30.6231
1220928,2,1,10.84,71.6992,-30.2712
1221247,2,1,9.43,71.6695,-30.9365
1222410,3,2,8.74,71.6509,-33.5285
1223040,3,2,13.87,71.6202,-34.8678
1224664,3,2,9.40,71.7262,-33.1793
1224672,3,2,9.04,71.8501,-33.1590
1233180,2,1,9.04,71.8440,-30.6997
1233421,2,1,5.82,71.9568,-30.0199
1233579,2,1,10.91,71.9287,-30.7350
1233864,2,1,9.28,71.8693,-31.9047
1233983,3,2,10.22,71.9232,-32.4061
1234012,3,2,10.03,71.9630,-32.5041
1234931,3,2,9.63,72.0627,-35.6695
1235096,3,2,8.91,72.0238,-35.0406
1235357,3,2,11.82,72.1030,-33.9419
1235445,3,2,9.49,72.1297,-33.5933
1235692,3,2,10.07,72.0599,-32.6189
1236197,2,1,8.83,72.0742,-30.6319
1236277,2,1,9.77,72.0151,-30.3399
1250339,3,2,7.51,72.2360,-33.4722
1250913,3,2,12.34,72.1668,-35.6568
1250980,3,2,10.41,72.1786,-35.8461
1251099,3,2,9.31,72.2921,-35.5560
