#
# Full target list for orbit 21, sector 7
# Created Fri Jan 18 23:06:11 EST 2019 
# Concatenation of GI astero exo bright DDT ppas lists
#
TICID,Camera,CCD,Tmag,RA,Dec
687046,2,3,14.02,119.5535,-16.3268
687308,2,3,15.04,119.6417,-16.1779
687627,2,3,13.24,119.5574,-15.9916
687634,2,3,11.37,119.5563,-15.9881
689318,2,3,8.23,119.6067,-15.0217
758285,2,3,7.92,119.7163,-13.3159
823128,2,3,8.17,123.8517,-16.6438
824169,2,3,15.26,123.8926,-15.8912
827160,2,3,4.87,123.8897,-13.6242
828976,2,3,13.20,123.8292,-12.0923
829147,2,3,8.15,123.7944,-11.9309
830161,2,3,13.22,123.9226,-12.7973
832484,2,3,13.07,123.9605,-14.7167
877333,2,3,8.04,123.9218,-15.4009
878056,2,3,13.88,123.9738,-15.9344
879091,2,3,13.33,123.9573,-16.6246
881177,2,3,14.44,123.9670,-17.4699
889610,2,3,13.82,126.9995,-14.6349
889858,2,3,14.31,127.1063,-14.3745
890962,2,3,8.38,127.0434,-13.2339
925457,2,3,10.08,127.0911,-12.2930
925623,2,3,11.10,127.0731,-12.0962
925776,2,3,12.60,127.0605,-11.8855
925945,2,3,10.36,127.2193,-12.1141
926084,2,3,11.36,127.1592,-12.2890
926110,2,3,11.28,127.2098,-12.3280
926898,2,3,14.55,127.1425,-13.1555
927579,2,3,13.08,127.1299,-13.8725
4616072,2,1,12.83,101.9942,-21.9107
4616407,2,1,8.50,101.9463,-22.1695
4617829,2,1,11.32,101.9595,-23.1987
4618358,2,1,13.47,102.0277,-23.5854
4706382,2,1,5.53,109.5511,-22.3394
4709037,2,1,11.77,109.5425,-21.2676
4769478,2,4,12.12,109.5067,-18.7690
4772233,2,4,14.23,109.5015,-18.2615
4774653,2,4,15.37,109.6537,-18.1479
4780784,2,4,8.48,109.6649,-19.4228
4785011,2,1,12.34,109.7006,-20.9322
4785624,2,1,13.28,109.6875,-21.1706
4786828,2,1,13.47,109.6926,-21.5901
4786838,2,1,13.35,109.6894,-21.5941
4827077,1,1,13.34,107.2712,-0.6975
4827953,1,1,9.04,107.2449,-1.0158
4829847,1,1,14.58,107.3362,-1.7143
4834467,1,1,8.55,107.3081,-3.3680
4862613,2,1,8.36,109.6165,-23.7654
4928089,1,1,11.74,107.3765,-5.2835
4931621,1,1,14.61,107.4219,-4.1234
4974874,2,1,12.38,109.8053,-20.5286
4978455,2,4,5.25,109.7580,-19.2803
4981132,2,4,9.78,109.8090,-18.3258
4987589,2,4,12.87,109.8516,-19.7311
4998203,1,1,13.29,107.4603,-2.3291
5003525,1,1,11.64,107.3547,-0.2494
5051080,2,1,12.25,109.9191,-21.8896
5051420,2,1,8.54,109.8754,-22.0048
5055107,2,1,14.34,109.9499,-23.3802
5058493,2,1,14.36,110.0525,-23.0528
5102485,1,1,3.95,107.5570,-4.2360
5108129,1,1,12.71,107.5917,-5.7923
5188610,1,1,13.93,107.6487,-3.9483
5190957,1,1,13.05,107.6887,-3.1344
5194488,1,1,13.91,107.6188,-1.8758
5194562,1,1,7.70,107.6622,-1.8429
5195910,1,1,13.75,107.6538,-1.3379
5195986,1,1,13.97,107.5959,-1.3075
5216188,2,1,13.64,112.4419,-22.4299
5216935,2,1,14.29,112.4030,-22.1479
5236245,2,4,5.20,112.5090,-19.5266
5236627,2,4,14.90,112.3976,-19.3951
5271492,1,1,13.80,107.7109,-0.4905
5271909,1,1,14.21,107.8100,-0.6559
5275596,1,1,8.42,107.7734,-1.7671
5277975,1,1,9.24,107.7974,-2.1427
5280409,1,1,9.60,107.8152,-2.9206
5282182,1,1,10.23,107.7875,-3.5703
5282385,1,1,13.33,107.7763,-3.6408
5283076,1,1,5.36,107.7627,-3.8980
5284321,1,1,13.26,107.7621,-4.3239
5285386,1,1,6.57,107.7938,-4.7033
5369400,1,1,8.11,107.8627,-5.1872
5370150,1,1,8.67,107.8925,-4.9326
5378075,1,1,15.01,107.9093,-2.2186
5379257,1,1,14.97,107.8287,-1.7967
5380204,1,1,13.27,107.9242,-1.4554
5454334,1,1,13.39,107.8631,-1.1476
5456605,1,1,5.28,107.8483,-0.3019
5458530,1,1,14.30,108.0094,-0.3128
5458984,1,1,4.16,107.9660,-0.4927
5467211,1,1,11.97,108.0311,-3.4851
5498295,1,1,8.19,107.9408,-4.1371
5501464,1,1,11.86,107.9637,-5.1442
5502196,1,1,12.90,108.0254,-5.3862
5503713,1,1,14.27,107.9947,-5.8637
5586741,2,4,9.03,111.4952,-8.6047
5660486,1,1,13.43,111.6308,-8.1136
5669558,2,4,8.17,111.6670,-11.5872
5770428,1,1,14.52,111.8479,-8.0107
5770525,1,1,8.15,111.7613,-7.9669
5857884,1,1,14.28,111.8569,-7.8625
5859148,1,1,14.76,111.9741,-8.3679
5859965,2,4,14.14,111.9057,-8.7170
5861961,2,4,13.66,111.9516,-9.5335
5916713,2,4,5.42,111.9652,-11.5569
5917423,2,4,9.69,111.9288,-11.7960
5995856,1,1,7.27,112.0922,-7.1590
5999791,1,1,10.94,112.2091,-6.4893
6007728,2,4,8.15,112.1079,-9.8246
6098743,2,4,14.81,112.1796,-11.0156
6105642,2,4,15.23,112.2267,-10.4131
6105860,2,4,4.25,112.3420,-10.3267
6109643,2,4,14.18,112.3131,-8.8291
6110321,2,4,10.61,112.2555,-8.5483
6169414,1,1,13.30,112.3590,-6.2030
6171208,1,1,13.70,112.4444,-7.0210
6172378,1,1,5.40,112.3572,-7.5504
6175922,2,4,11.74,112.3810,-9.0059
6176523,2,4,7.39,112.3977,-9.2593
6274453,2,4,9.09,112.4115,-11.3596
6274566,2,4,8.19,112.4504,-11.3947
6276476,2,4,13.32,112.5855,-11.8162
