#
# Full target list for orbit 23, sector 8
# Created Fri Mar  1 17:06:06 EST 2019 
# Concatenation of GI astero exo bright DDT ppas lists
#
# TICID	      Camera   CCD	Tmag	   RA		  Dec
   778972	1	1	 8.02	134.7838	 -5.8423
   779592	1	1	 9.39	134.7241	 -4.5416
   779813	1	1	 9.08	134.7940	 -4.0299
   780158	1	1	10.70	134.8072	 -3.2120
   780185	1	1	10.97	134.7421	 -3.1446
   799291	2	1	13.59	130.3733	-28.2894
   799626	2	1	13.48	130.3912	-28.0743
   800049	2	1	13.56	130.3334	-27.7908
   800254	2	1	14.70	130.3344	-27.6491
   800670	2	1	14.04	130.3102	-27.3631
   804333	2	4	 9.34	130.3774	-24.8280
   804512	2	4	15.51	130.3414	-24.7035
   816191	1	1	 9.79	134.8306	 -2.6759
   816310	1	1	10.19	134.7868	 -2.3411
   816349	1	1	 8.98	134.7634	 -2.2278
   816354	1	1	 9.78	134.8055	 -2.2206
   816793	1	4	15.46	134.8047	 -0.9792
   816816	1	4	11.84	134.8062	 -0.9086
   816939	1	4	 8.02	134.7754	 -0.6239
   817069	1	4	 8.99	134.7908	 -0.2061
   818271	1	1	 9.80	134.8313	 -2.6756
   819072	1	1	 9.60	134.8728	 -4.4756
   819114	1	1	 7.76	134.8801	 -4.5702
   819680	1	1	 8.96	134.8917	 -5.8693
   820112	1	1	11.70	135.0534	 -5.0247
   820148	1	1	 8.01	135.0688	 -4.9369
   859025	1	4	10.51	135.1753	 -0.5822
   860526	1	1	 9.67	135.1955	 -4.3707
   861925	1	1	13.52	135.2026	 -4.3846
   863395	1	4	10.68	135.2074	 -0.8892
   863860	1	4	 8.05	135.5781	 -0.1505
   864027	1	4	12.66	135.6323	 -0.6203
   864048	1	4	 8.99	135.6272	 -0.6788
   864246	1	4	 9.16	135.6305	 -1.1815
   864709	1	1	 9.97	135.5729	 -2.3005
   864738	1	1	 7.03	135.6006	 -2.3660
   866704	2	4	13.23	130.4222	-24.5982
   869353	2	1	14.65	130.4475	-26.4930
   870203	2	1	14.27	130.4409	-27.0817
   871323	2	1	14.33	130.4194	-27.8084
   872755	2	1	 8.02	130.5393	-28.6816
   873149	2	1	15.50	130.5092	-28.9234
   874830	2	1	13.21	130.5057	-29.8882
   875147	2	1	 8.24	130.6613	-29.7991
   875522	2	1	13.28	130.5672	-29.5939
   876550	2	1	13.90	130.6585	-29.0010
   885808	2	4	 8.11	127.0841	-16.7207
   886620	2	4	13.77	127.0730	-16.4501
   889277	2	4	 8.29	127.1132	-14.9844
   890962	2	4	 8.38	127.0434	-13.2339
   892149	1	1	13.50	135.5721	 -4.1154
   892355	1	1	 9.64	135.6170	 -4.5993
   893123	1	4	11.12	135.8646	 -0.3921
   894632	1	1	 8.11	135.8302	 -4.3236
   894682	1	1	 7.39	135.8380	 -4.4415
   915862	1	1	12.33	135.9550	 -4.3775
   915962	1	1	 8.85	135.9408	 -4.1761
   915970	1	1	 8.41	135.9331	 -4.1582
   916550	1	1	10.85	135.9379	 -2.8660
   917236	1	4	11.51	135.9905	 -1.3069
   917746	1	4	10.55	135.9834	  0.0005
   917838	1	4	11.65	136.1069	 -0.0984
   918893	1	1	14.74	136.0557	 -2.8757
   918895	1	1	 9.52	136.0427	 -2.8806
   919245	1	1	 8.17	136.0754	 -3.7485
   919535	1	1	 9.74	136.0927	 -4.4374
   925945	2	4	10.36	127.2193	-12.1141
   926898	2	4	14.55	127.1425	-13.1555
   927579	2	4	13.08	127.1299	-13.8725
   933650	2	4	 9.17	130.2136	-16.3477
   933907	2	4	 9.10	130.2022	-16.0598
   934557	2	4	 9.86	130.1256	-15.2833
   938769	2	1	14.53	130.5504	-26.2621
   938825	2	1	14.27	130.5659	-26.2282
   939104	2	1	 9.43	130.6277	-26.0127
   943068	2	4	12.29	130.6957	-24.9745
   943322	2	4	13.75	130.8054	-25.1919
   945309	2	1	13.85	130.7604	-26.6243
   971500	1	1	 9.08	136.2584	 -4.6289
   971767	1	1	 7.58	136.2475	 -3.9875
   971768	1	1	 8.49	136.2505	 -3.9872
   972665	1	4	 8.97	136.2641	 -1.6722
   972858	1	4	 8.76	136.1860	 -1.1291
   973569	1	4	10.47	136.3009	 -0.6290
   975071	1	1	 8.55	136.2965	 -4.2887
   975295	1	1	10.34	136.3943	 -4.8030
   975565	1	1	 9.40	136.3565	 -5.4700
   998051	2	4	14.31	130.1596	-15.0763
   998242	2	4	10.73	130.0971	-14.8646
   998307	2	4	13.77	130.1899	-14.8059
   998417	2	4	 7.45	130.1005	-14.6969
   998664	2	4	12.93	130.1827	-14.3763
   998999	2	4	10.96	130.1107	-13.9079
  1000372	1	1	 7.68	130.1724	-12.1690
  1000373	1	1	 7.91	130.1713	-12.1683
  1002328	2	4	 7.35	130.2583	-14.2932
  1003831	2	4	10.63	130.2952	-16.0363
  1004005	2	4	 8.20	130.2753	-16.2091
  1005021	2	4	 8.10	130.2256	-17.3393
  1010750	2	1	13.71	130.7027	-27.9974
  1011227	2	1	13.96	130.6983	-28.3054
  1013471	2	1	12.13	130.7911	-29.6275
  1017846	2	1	13.93	130.8210	-27.6167
  1019144	2	1	14.90	130.8233	-26.7763
  1019692	2	1	13.58	130.8331	-26.4161
  1019957	2	1	 8.11	130.8436	-26.2201
  1020075	2	1	13.03	130.9298	-26.1228
  1031929	2	4	 9.54	130.4048	-16.6474
  1033135	2	4	 4.26	130.4306	-15.9439
  1034175	2	4	10.56	130.4657	-15.3188
  1036998	2	4	 9.90	130.3707	-13.4858
  1037562	2	4	 9.19	130.3832	-12.7894
  1038216	1	1	 6.32	130.5407	-11.9661
  1038605	1	1	 9.23	130.4858	-12.4995
  1039419	2	4	 8.79	130.5433	-13.5382
  1039655	2	4	 9.23	130.5198	-13.8255
  1039707	2	4	 8.02	130.4855	-13.9192
  1039846	2	4	 9.95	130.5678	-14.1030
  1041326	2	4	10.48	130.5161	-15.8613
  1041328	2	4	12.79	130.5763	-15.8637
  1041986	2	4	10.78	130.5727	-16.6643
  1085150	2	4	 8.88	130.8955	-24.5276
  1087205	2	4	 9.49	131.0539	-24.9655
  1089025	2	1	12.55	130.9751	-26.2433
  1089621	2	1	 8.23	130.9428	-26.6495
  1090101	2	1	 8.01	131.0194	-26.9847
  1090396	2	1	14.73	130.9764	-27.1708
  1090844	2	1	13.71	131.0214	-27.4575
  1103432	2	4	12.77	130.5814	-17.1894
  1103826	2	4	12.43	130.5264	-17.5690
  1104712	2	4	 9.49	130.6584	-17.4109
  1105553	2	4	12.91	130.6011	-16.4678
  1106242	2	4	 9.65	130.6907	-15.7357
  1106419	2	4	 9.90	130.7071	-15.5472
  1106958	2	4	10.10	130.6776	-14.9401
  1107885	2	4	15.10	130.7005	-13.7871
  1109657	1	1	 7.21	130.7818	-12.4220
  1109708	1	1	12.01	130.7469	-12.4920
  1109966	2	4	10.05	130.8325	-12.8270
  1111192	2	4	 9.67	130.7661	-14.4233
  1131093	2	1	15.36	131.0768	-29.3002
  1131624	2	1	14.59	131.1290	-28.9850
  1132399	2	1	 9.74	131.0958	-28.5276
  1133072	2	1	12.54	131.0862	-28.0768
  1133762	2	1	13.49	131.1879	-27.6310
  1134701	2	1	13.47	131.1247	-27.0307
  1138567	2	4	 8.12	131.0743	-24.2408
  1141694	2	4	 7.24	130.7304	-14.9955
  1141827	2	4	10.84	130.7286	-15.1853
  1144530	2	4	14.66	135.8042	-17.5999
  1144993	2	4	11.08	135.8671	-16.9388
  1145487	2	4	10.44	135.8313	-16.1764
  1146056	2	4	 8.25	135.8078	-15.2496
  1146626	1	1	 8.84	135.8066	-14.3816
  1147726	1	1	 8.03	135.8935	-12.5560
  1148482	1	1	 9.78	135.9658	-12.6061
  1148692	1	1	13.85	135.9633	-12.9537
  1189859	2	4	 9.78	135.9396	-15.2097
  1190309	2	4	10.52	136.0226	-15.9220
  1190423	2	4	 9.95	135.9866	-16.1228
  1190468	2	4	13.09	135.9656	-16.1789
  1190662	2	4	12.93	136.0399	-16.4938
  1190934	2	4	 8.29	136.0162	-16.8852
  1191129	2	4	 9.13	136.0334	-17.1835
  1191321	2	4	 5.50	135.9375	-17.4967
  1191780	2	4	 9.63	136.0800	-17.6923
  1192044	2	4	 9.50	136.0996	-17.2902
  1192946	2	4	 7.79	136.0856	-15.9144
  1193300	2	4	12.34	136.0863	-15.3358
  1193310	2	4	 9.94	136.1399	-15.3156
  1193387	2	4	 8.15	136.0469	-15.2042
  1193554	2	4	 9.19	136.0591	-14.9265
  1194496	1	1	 7.99	136.1669	-13.2557
  1194742	1	1	 8.07	136.0867	-12.8369
  1195021	1	1	12.45	136.1679	-12.3237
  1195343	1	1	10.11	137.2502	-12.1528
  1200831	2	1	13.03	131.2151	-26.9158
  1201050	2	1	13.38	131.3256	-27.0716
  1201317	2	1	13.21	131.2445	-27.2563
  1201983	2	1	 8.51	131.2967	-27.6826
  1202347	2	1	11.68	131.2783	-27.9195
  1202481	2	1	11.60	131.2524	-27.9942
  1202996	2	1	12.93	131.2961	-28.3246
  1204504	2	1	15.26	131.2232	-29.2519
  1205636	2	1	14.42	131.2716	-29.9073
  1210662	2	1	14.89	131.4089	-26.9113
  1226247	1	1	 8.87	137.2657	-12.8802
  1228170	2	4	 5.39	137.1856	-16.2777
  1228450	2	4	 7.39	137.2737	-16.7588
  1230105	2	4	 9.11	137.3780	-16.4326
  1230345	2	4	11.58	137.2973	-16.0476
  1230647	2	4	 9.03	137.3459	-15.5890
  1232233	1	1	 8.66	137.3197	-12.8274
  1232360	1	1	10.75	137.3146	-12.6049
  1232485	1	1	 4.87	137.2981	-12.3577
  1253756	1	1	10.00	137.4787	-12.0319
  1253795	1	1	11.01	137.4109	-12.1146
  1253889	1	1	13.69	137.5287	-12.2962
  1254975	1	1	12.86	137.4586	-14.2333
  1255726	2	4	 9.06	137.4910	-15.5329
  1255904	2	4	 9.35	137.4785	-15.7968
  1255915	2	4	 9.92	137.4341	-15.8190
  1256364	2	4	10.82	137.4493	-16.5273
  1258935	1	1	 9.95	137.5797	-15.0622
  1258971	1	1	 8.16	137.5572	-15.0139
  1259033	1	1	 7.63	137.6032	-14.9002
  1259961	1	1	 8.51	137.5823	-13.1687
  1261860	2	4	 6.00	131.4551	-25.3880
  1262196	2	4	 9.25	131.3680	-25.1422
  1267523	2	1	 5.58	131.5419	-26.6128
  1267835	2	1	12.56	131.5252	-26.7931
  1270046	2	1	13.59	131.4721	-28.1680
  1312997	1	1	 9.84	137.5874	-12.2356
  1314281	1	1	 9.78	137.7565	-13.3303
  1314957	1	1	12.39	137.7680	-14.6048
  1315241	1	1	 9.11	137.7141	-15.0635
  1315490	2	4	 7.79	137.7291	-15.4594
  1318594	1	1	13.02	137.8761	-15.2769
  1319235	1	1	10.18	137.8579	-14.1664
  1319283	1	1	 9.99	137.8762	-14.0846
  1337280	1	1	 9.71	137.8682	-12.4454
  1338111	1	1	 9.54	137.9153	-12.9699
  1340650	2	3	 8.05	137.9871	-17.5539
  1340678	2	3	 9.98	137.9250	-17.6002
  1341880	2	3	 9.81	139.9200	-16.1920
  1342360	1	2	10.06	139.9978	-15.2344
  1342389	1	2	 9.53	139.9546	-15.1714
  1344656	2	1	 4.89	131.6514	-29.7281
  1344919	2	1	15.02	131.6271	-29.5632
  1346071	2	1	14.19	131.6927	-28.9306
  1346905	2	1	14.81	131.7294	-28.4410
  1347816	2	1	12.85	131.7010	-27.8744
  1349632	2	1	11.73	131.6793	-26.6747
  1350006	2	1	13.96	131.6284	-26.4396
  1358113	1	2	 8.44	139.9677	-14.7840
  1358462	1	2	10.11	139.9098	-14.0606
  1358832	1	2	10.15	139.9308	-13.4042
  1358849	1	2	 9.90	139.9320	-13.3751
  1360873	1	2	 8.30	140.1306	-14.7490
  1361244	1	2	11.16	140.0424	-15.4274
  1362343	2	3	 8.17	140.1144	-17.4248
  1363573	2	3	 8.84	140.1646	-16.2410
  1399933	1	2	 5.88	140.2316	-15.6184
  1400028	1	2	 8.11	140.2434	-15.4574
  1400060	1	2	 9.52	140.2275	-15.3976
  1400069	1	2	 9.68	140.1704	-15.3637
  1400141	1	2	 8.86	140.1883	-15.2388
  1400887	1	2	 7.67	140.1933	-13.8073
  1401366	1	2	 9.50	140.1470	-12.8623
  1401516	1	2	 8.24	140.2168	-12.5614
  1401634	1	2	 9.85	140.2340	-12.3154
  1402010	1	2	 9.46	140.2750	-12.2651
  1402874	1	2	 8.47	140.3451	-13.8580
  1403063	1	2	10.15	140.3065	-14.2039
  1403170	1	2	10.99	140.3345	-14.4547
  1403744	1	2	 9.06	140.2899	-15.5272
  1403938	1	2	13.84	140.2611	-15.8898
  1403948	1	2	 8.94	140.2698	-15.9159
  1404058	1	2	 9.62	140.3834	-16.1220
  1404122	2	3	 8.68	140.2844	-16.2399
  1404529	2	3	 8.63	140.3151	-17.0045
  1404644	2	3	11.33	140.2982	-17.2310
  1404983	2	3	 8.48	140.3756	-17.7482
  1404989	2	3	 7.73	140.3848	-17.7577
  1407086	2	4	13.70	131.7412	-25.3374
  1408827	2	1	15.19	131.8033	-26.5022
  1410038	2	1	15.89	131.7881	-27.2963
  1412817	2	1	13.11	131.7601	-28.9803
  1412895	2	1	14.62	131.7408	-29.0213
  1412963	2	1	13.67	131.7738	-29.0508
  1413841	2	1	12.86	131.7940	-29.5581
  1414231	2	1	14.41	131.7665	-29.7699
  1415522	2	1	11.60	131.9598	-29.3753
  1415789	2	1	 8.82	131.8668	-29.2148
  1441866	1	2	10.09	142.7141	-16.4037
  1442238	1	2	 8.63	142.7369	-15.7388
  1442502	1	2	 8.87	142.6611	-15.1578
  1443102	1	2	 9.40	142.6806	-13.8496
  1443112	1	2	14.44	142.7005	-13.8363
  1444189	1	2	10.40	146.8009	-12.4408
  1444315	1	2	10.54	146.8318	-12.7375
  1445085	1	2	 9.43	146.8230	-14.6872
  1445971	1	2	 8.07	146.7623	-16.8198
  1446105	1	2	10.16	146.7212	-17.1257
  1446147	1	2	 5.33	146.8085	-17.2059
  1446262	1	2	 8.95	146.7280	-17.4823
  1472184	1	2	 8.23	146.8509	-14.9141
  1472493	1	2	10.93	146.9206	-14.1397
  1473283	1	2	12.66	146.9315	-12.1518
  1473625	1	2	 8.73	146.9977	-12.5599
  1474903	1	2	11.98	146.9759	-15.5888
  1474958	1	2	 8.45	147.0184	-15.7345
  1475091	1	2	 8.65	147.0423	-16.0296
  1475918	1	2	 9.18	147.0490	-17.8436
  1497180	2	1	13.80	131.9560	-26.9826
  1502489	2	4	13.60	131.9385	-24.8635
  1503583	2	4	 8.06	131.9091	-24.3937
  1521462	1	2	 6.32	149.4154	-16.5223
  1522243	1	2	10.91	149.3282	-14.5026
  1522296	1	2	 9.08	149.3451	-14.3458
  1522442	1	2	 9.88	149.3855	-13.9571
  1522726	1	2	 8.20	149.3878	-13.2135
  1522960	1	2	10.92	149.4045	-12.4968
  1536714	1	1	 9.82	131.0378	 -1.0590
  1536984	1	1	11.31	131.0937	 -1.5921
  1537447	1	1	 8.16	130.9939	 -2.2665
  1538422	1	1	 8.29	130.9912	 -3.2177
  1538902	1	1	10.18	131.0450	 -3.6993
  1539414	1	1	 7.17	131.0168	 -4.2021
  1564504	2	1	 4.16	132.0608	-28.6389
  1568460	2	1	13.09	132.1606	-28.9439
  1570042	2	1	12.85	132.1766	-28.0069
  1572208	2	1	13.52	132.2009	-26.4950
  1573327	2	4	12.76	132.1806	-25.7036
  1573395	2	4	 8.02	132.1570	-25.6543
  1595535	1	1	10.47	131.1475	 -4.9635
  1597620	1	1	11.13	131.2082	 -3.6701
  1598010	1	1	10.47	131.1187	 -3.4547
  1599408	1	1	10.69	131.2203	 -2.4714
  1599508	1	1	 8.83	131.1283	 -2.3806
  1600566	1	1	 9.04	131.1574	 -1.2667
  1600642	1	1	 9.19	131.2028	 -1.1686
  1600767	1	1	 9.20	131.1254	 -1.0440
  1603176	1	1	10.02	131.2351	 -1.6286
  1604036	1	1	 6.29	131.3367	 -2.6011
  1604040	1	1	 6.92	131.3353	 -2.6013
  1605355	1	1	 8.06	131.2399	 -4.0262
  1606078	1	1	 8.61	131.2927	 -4.7490
  1606149	1	1	10.01	131.3321	 -4.8135
  1616669	2	4	12.33	132.2147	-24.6981
  1622459	2	1	15.23	132.2914	-27.4649
  1622521	2	1	13.08	132.3667	-27.5064
  1622841	2	1	 8.42	132.3121	-27.7052
  1623592	2	1	14.55	132.3801	-28.2080
  1643748	1	1	 9.45	131.4625	 -4.2493
  1644022	1	1	10.16	131.4520	 -3.7329
  1644054	1	1	 8.30	131.3511	 -3.6816
  1644726	1	1	10.72	131.3960	 -2.5114
  1647071	1	1	 4.96	131.5106	 -2.0484
  1648669	1	1	 8.22	131.5472	 -5.1509
  1649491	1	1	 9.18	131.6609	 -5.1822
  1676132	1	1	 8.63	131.7075	 -3.5956
  1676334	1	1	10.96	131.6589	 -3.1452
  1677782	1	4	 9.80	131.6948	 -0.0529
  1677880	1	4	 8.71	131.8042	 -0.0056
  1678267	1	1	 8.71	131.7090	 -0.7783
  1678701	1	1	10.51	131.7529	 -1.6390
  1678825	1	1	 5.25	131.8122	 -1.8970
  1678913	1	1	15.63	131.7379	 -2.1082
  1679132	1	1	 8.29	131.7542	 -2.5964
  1679179	1	1	10.48	131.7088	 -2.7088
  1684530	2	1	12.45	132.4315	-27.5942
  1690134	2	4	13.59	132.6451	-24.3965
  1691756	2	4	10.95	132.5705	-25.7107
  1710855	1	3	10.15	155.6755	 -0.7650
  1711128	1	3	 8.55	155.7606	 -0.3556
