#
# Full target list for orbit 27, sector 10
# Created Tue Mar 26 13:46:54 EDT 2019 
# Concatenation of GI astero exo bright DDT ppas lists
#
# TICID	      Camera   CCD	Tmag	   RA		  Dec
  1627611	1	4	10.64	188.1007	-17.7992
  1627709	1	4	 9.45	188.1254	-17.4351
  1628071	1	4	 3.98	188.0152	-16.1963
  1628320	1	4	 8.32	188.0407	-15.2713
  1628550	1	4	11.34	188.0115	-14.4461
  1629397	1	4	10.04	188.2232	-12.0958
  1629601	1	4	 8.14	188.1875	-12.7849
  1629931	1	4	 5.38	188.1492	-13.8594
  1630157	1	4	12.33	188.2215	-14.5958
  1630433	1	4	13.36	188.1842	-15.5162
  1630438	1	4	 9.89	188.1353	-15.5230
  1630690	1	4	10.02	188.1920	-16.4388
  1650125	1	4	 9.73	188.1814	-16.8902
  1650234	1	4	 7.17	188.1712	-17.2206
  1651016	1	4	12.06	188.2917	-16.0660
  1651242	1	4	10.03	188.3380	-15.3304
  1652489	1	4	 8.80	188.3888	-12.6701
  1652548	1	4	 4.88	188.3926	-12.8299
  1653065	1	4	15.25	188.4029	-14.4189
  1668503	1	4	11.30	188.4081	-17.4785
  1668722	1	4	 7.67	188.4105	-17.7938
  1668887	1	3	13.76	195.5373	-17.8182
  1671437	1	3	 8.20	195.4821	-13.8185
  1673435	1	3	10.46	195.6774	-13.3941
  1693252	1	3	 9.81	195.6208	-15.0492
  1693573	1	3	11.47	195.6472	-16.0626
  1693886	1	3	12.26	195.5805	-16.9617
  1694893	1	3	11.58	195.7401	-15.8527
  1695088	1	3	 9.13	195.7950	-15.2711
  1695131	1	3	 9.77	195.7691	-15.1499
  1695417	1	3	 9.62	195.7809	-14.2060
  1727447	1	3	10.29	195.8700	-15.3431
  1727745	1	3	 7.22	195.9119	-16.3368
  1727912	1	3	10.81	195.8852	-16.9368
  1727930	1	3	12.43	195.9391	-16.9816
  1728294	1	3	11.80	196.8791	-17.5502
  1728462	1	3	 8.92	196.8466	-17.0793
  1729030	1	3	10.20	196.8212	-15.3907
  1729322	1	3	10.83	196.8457	-14.4845
  1729435	1	3	 7.30	196.9124	-14.1880
  1735019	1	3	 9.52	197.0284	-16.6772
  1735323	1	3	10.64	197.0284	-17.5868
  1735435	1	3	 9.35	197.1209	-17.9085
  1735555	1	3	14.29	197.1377	-17.5099
  1736351	1	3	10.39	197.1568	-14.9336
  1757499	1	3	 9.74	197.2166	-14.1499
  1758323	1	3	 8.62	197.2840	-16.7512
  1758459	1	3	14.00	197.2210	-17.1977
  1758607	1	3	 8.01	197.2689	-17.6765
  2453708	1	3	10.71	193.5976	-17.2341
  2454921	1	4	11.32	193.6904	-12.6389
  2455329	1	4	 9.77	193.7420	-12.7081
  2455538	1	4	 5.86	193.7791	-13.4528
  2456904	1	3	10.68	193.8585	-17.4327
  2470130	1	4	 8.70	193.8690	-14.0996
  2470248	1	4	 8.21	193.9606	-13.6124
  2470992	1	4	13.35	194.0074	-12.9571
  2470994	1	4	 9.41	193.9686	-12.9577
  2472284	1	3	13.41	194.0221	-17.7482
  2472624	1	3	 9.33	194.1773	-17.0342
  2472763	1	3	10.70	194.1852	-16.5092
  2472959	1	3	 9.51	194.1861	-15.8162
  2488627	1	4	13.64	194.1307	-13.4631
  2490201	1	3	11.97	194.2371	-16.4619
  2490883	1	3	 7.42	194.3959	-17.3950
  2491304	1	3	15.79	194.3306	-15.9397
  2492160	1	4	 9.86	194.4225	-12.8941
  2492176	1	4	10.85	194.4374	-12.8372
  2492183	1	4	 7.75	194.3973	-12.8130
  2518520	1	3	 9.69	194.4773	-15.0728
  2518662	1	3	13.60	194.5609	-15.5715
  2518931	1	3	10.79	194.5316	-16.5480
  2518954	1	3	 8.32	194.5150	-16.6476
  2518982	1	3	 7.98	194.5438	-16.7721
  2519257	1	3	 8.61	194.5031	-17.6812
  5628072	1	4	 9.26	178.8129	-18.1096
  5628559	1	1	10.27	178.8409	-19.6319
  5628885	1	1	 9.96	178.8171	-20.7849
  5630420	1	1	 9.38	178.9146	-22.4261
  5630425	1	1	12.68	178.9264	-22.4173
  5630435	1	1	 9.55	178.8677	-22.3881
  5630507	1	1	 6.44	178.9796	-22.1841
  5630694	1	1	 6.85	178.9638	-21.6601
  5631244	1	1	 9.38	178.9670	-19.8569
  5648410	1	1	 8.95	178.9977	-20.6372
  5649424	1	1	 9.72	179.0648	-23.6060
  5713258	1	4	 9.13	179.2140	-18.5981
  5714012	1	1	 9.94	179.2041	-21.1672
  5714089	1	1	 9.51	179.1488	-21.4197
  5714328	1	1	 8.16	179.1219	-22.0644
  5714469	1	1	13.62	179.2005	-22.4894
  5797349	1	1	11.11	187.2693	-23.2985
  5816232	1	4	12.58	187.1609	-19.6247
  5817150	1	4	11.56	187.3242	-19.1330
  5817900	1	4	11.31	187.3805	-21.3119
  5818959	1	1	11.10	187.4337	-23.5885
  5819567	1	4	 9.00	187.4072	-22.0496
  5866466	1	4	14.67	187.5122	-19.0652
  5868767	1	1	 9.26	187.6112	-23.5482
  5868840	1	1	 3.87	187.5725	-23.6964
  5868998	1	1	13.59	187.7819	-23.7737
  5869755	1	4	 8.02	187.6968	-21.6422
  5870144	1	4	 8.72	187.6727	-20.5105
  5870216	1	4	 8.09	187.7617	-20.3143
  5877537	1	4	 8.70	187.8008	-18.9965
  5877580	1	4	13.92	187.8023	-19.1142
  5877619	1	4	 9.90	187.8930	-19.2229
  5878319	1	4	11.24	187.8835	-21.3844
  5879697	1	4	 9.99	188.0331	-22.7086
  5881279	1	4	11.69	187.9936	-18.1241
  5881419	1	4	13.09	188.1207	-18.1334
  5881964	1	4	 9.32	188.1068	-19.7665
  5882108	1	4	11.35	188.1309	-20.1840
  5911045	1	4	11.00	188.1273	-20.8678
  5911169	1	4	 5.28	188.1359	-21.2124
  5911234	1	4	10.77	188.0592	-21.4277
  5911482	1	4	 7.70	188.1051	-22.1711
  5911553	1	4	10.12	188.1421	-22.4254
  5913259	1	3	 9.25	193.1515	-20.9271
  5913631	1	3	11.87	193.2447	-19.8510
  5914520	1	3	 7.78	193.3144	-18.5265
  5915144	1	3	 8.04	193.2910	-20.2147
  5915399	1	3	11.53	193.3972	-20.8872
  5915623	1	3	11.53	193.3081	-21.4685
  5915743	1	3	13.80	193.3367	-21.7945
  5966705	1	3	 9.83	193.3262	-22.9460
  5966788	1	3	 8.10	193.2775	-23.1663
  5967427	1	3	 7.94	193.4246	-23.1092
  5969274	1	3	 6.89	193.5010	-18.0376
  5970018	1	3	14.14	193.5885	-19.8699
  5970086	1	3	 5.04	193.6258	-20.0980
  5970825	1	3	11.23	193.6308	-22.1698
  5981040	1	3	 9.99	193.7294	-23.2419
  5981829	1	3	 9.07	193.6855	-21.3111
  5981866	1	3	10.48	193.6880	-21.1870
  5982485	1	3	 8.05	193.7775	-19.4750
  5983532	1	3	 9.22	193.8702	-19.1317
  5984053	1	3	10.15	193.8203	-20.6901
  5984440	1	3	 8.04	193.8495	-21.7496
  5985238	1	3	 9.38	193.8440	-23.7038
  5985469	1	3	 9.22	193.9733	-23.5966
  6009389	1	3	12.43	193.9236	-22.4454
  6009392	1	3	10.14	193.9605	-22.4353
  6010551	1	3	11.50	193.9774	-19.3232
  6010747	1	3	10.45	193.9128	-18.8147
  6011181	1	3	 8.68	194.0529	-18.2447
  6011929	1	3	 8.66	194.1510	-20.4124
  6012146	1	3	11.58	194.1464	-21.0372
  6012575	1	3	10.18	194.0539	-22.0845
  6013484	1	3	 8.07	199.7737	-23.5395
  6013637	1	3	 2.24	199.7308	-23.1717
  6014266	1	3	14.42	199.7712	-21.7350
  6033917	1	3	 7.48	199.7698	-20.0035
  6034780	1	3	 9.52	199.8750	-18.1520
  6034847	1	3	13.98	199.8852	-18.3546
  6034975	1	3	12.11	199.8621	-18.6833
  6035158	1	3	 8.37	199.8298	-19.1314
  6035306	1	3	 9.46	199.8013	-19.5336
  6036167	1	3	16.26	199.8531	-21.8010
  6037221	1	3	10.02	199.9524	-23.3119
  6038219	1	3	 9.44	199.9933	-20.6773
  6038264	1	3	 8.40	199.9706	-20.5654
  6076984	1	3	 8.63	199.9174	-18.5262
  6077288	1	3	 8.34	200.0912	-18.1718
  6077536	1	3	13.73	200.0457	-18.8777
  6077960	1	3	 9.96	200.0966	-20.0636
  6078233	1	3	 9.79	200.0437	-20.8088
  6078255	1	3	 7.15	200.1276	-20.8812
  6079610	1	3	 5.36	200.1882	-23.7637
  6079800	1	3	10.80	200.2507	-23.2951
  6080209	1	3	 9.53	200.2116	-22.2638
  6080339	1	3	12.51	200.2870	-21.9650
  6080398	1	3	 7.79	200.2731	-21.8059
  6080477	1	3	11.78	200.1807	-21.5598
  6080492	1	3	11.12	200.2146	-21.5134
  6081344	1	3	10.57	200.2293	-19.1411
  6115428	1	3	 6.16	200.3736	-19.4893
  6116156	1	3	11.05	200.3473	-21.6719
  6116226	1	3	13.83	200.3564	-21.8630
  6116592	1	3	 6.70	200.3484	-22.7940
  6117241	1	3	11.40	200.4849	-23.4881
  6117499	1	3	 9.61	200.5250	-22.8514
  6117698	1	3	 9.10	200.4518	-22.2953
  6117883	1	3	 9.19	200.4560	-21.7543
  6117932	1	3	 8.22	200.5008	-21.6530
  6117942	1	3	12.77	200.4392	-21.6228
  6118001	1	3	12.00	200.4978	-21.4309
  6118108	1	3	 9.73	200.4769	-21.1428
  6118512	1	3	10.78	200.4928	-19.9440
  6118924	1	3	 6.77	200.4427	-18.7422
  6119182	1	3	 8.25	200.5166	-17.9291
  9257272	1	2	10.54	190.4706	-29.8171
  9258703	1	2	 9.24	190.5465	-26.2712
  9259081	1	2	 9.30	190.4918	-25.3484
  9259773	1	2	 8.91	190.6432	-24.6139
  9260037	1	2	11.72	190.5692	-25.3007
  9261534	1	2	11.63	190.6483	-29.3036
  9274700	1	2	 9.49	190.7985	-29.8274
  9274919	1	2	10.74	190.7242	-29.2538
  9275166	1	2	10.38	190.7619	-28.6840
  9275419	1	2	10.37	190.7412	-28.1780
  9276023	1	2	 8.27	190.8043	-27.3730
  9276299	1	2	 9.65	190.7755	-26.9801
  9276368	1	2	13.41	190.7132	-26.9000
  9276904	1	2	10.95	190.8222	-26.1729
  9277280	1	2	10.58	190.8025	-25.6896
  9277748	1	2	 4.59	190.8046	-24.9906
  9279156	1	2	11.20	190.8292	-25.1144
  9281408	1	2	10.47	190.9397	-28.4853
  9281587	1	2	 7.72	190.9532	-28.7025
  9282132	1	2	 9.16	190.8865	-29.4410
  9282618	1	2	11.54	191.0390	-29.8417
  9283259	1	2	12.92	191.0563	-29.1674
  9331851	1	2	 4.31	191.0021	-28.3242
  9332194	1	2	 9.24	190.9934	-27.4498
  9332200	1	2	 8.74	190.9871	-27.4404
  9332306	1	2	11.62	191.0165	-27.1637
