#
# Full target list for orbit 29, sector 11
# Created Thu Apr 25 11:29:23 EDT 2019 
# Concatenation of GI astero exo bright DDT ppas lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1078,1,4,9.56,218.8132,-28.2282
1275,1,4,9.54,218.8347,-27.9237
1307,1,4,10.08,218.8137,-27.8589
1454,1,4,9.96,218.7553,-27.6012
1608,1,4,8.69,218.7851,-27.3467
2042,1,4,9.81,218.7369,-26.6237
2497,1,4,8.94,218.7481,-25.7755
3709,1,4,8.35,218.8763,-24.3451
8610,1,4,14.12,219.0585,-27.6050
8842,1,4,15.26,219.0306,-27.2207
10175,1,4,11.13,219.0172,-24.9815
10238,1,4,9.76,219.0219,-24.8440
10343,1,4,10.66,219.0362,-24.6681
11182,1,4,12.97,219.1528,-24.7633
11582,1,4,8.85,219.1572,-25.5233
12678,1,4,9.41,219.2278,-27.3903
12767,1,4,9.30,219.2006,-27.5207
14430,1,3,7.97,219.3706,-29.6829
16598,1,4,10.38,219.3079,-26.2026
16786,1,4,9.22,219.3230,-25.8965
16855,1,4,7.33,219.2703,-25.8032
17888,1,4,8.33,219.2514,-24.0381
18887,1,4,9.59,219.4635,-25.7429
23696,1,4,8.55,219.5485,-26.5114
23778,1,4,10.52,219.5566,-26.3691
28465,1,3,9.53,219.7507,-28.7231
29069,1,3,8.53,219.7617,-29.6378
33486,1,4,10.56,219.9864,-24.6006
33905,1,4,11.79,220.0064,-25.2428
35795,1,3,8.77,220.0126,-27.9958
36279,1,3,9.29,219.9614,-28.6428
36856,1,3,10.29,220.0087,-29.4271
37732,1,3,7.34,220.1052,-29.3018
38569,1,3,8.10,220.1012,-28.1403
38731,1,3,11.09,220.0914,-27.8796
41111,1,4,8.60,220.1262,-24.3264
43697,1,3,9.36,220.2953,-27.5399
43855,1,3,13.20,220.2674,-27.7774
44267,1,3,9.23,220.3049,-28.4186
45247,1,3,10.38,220.2531,-29.7446
46247,1,3,13.06,220.3417,-28.8400
46937,1,3,11.62,220.4050,-27.8594
52357,1,3,5.69,220.4882,-28.0658
53045,1,3,5.94,220.5039,-28.9431
53356,1,3,7.63,220.4821,-29.3605
53373,1,3,9.69,220.5629,-29.3916
53375,1,3,9.91,220.5622,-29.3916
53990,1,3,10.85,220.5947,-29.6866
54719,1,3,12.59,220.6293,-28.6415
56154,1,3,10.46,220.6476,-26.6179
56179,1,3,8.89,220.6050,-26.5808
59890,1,3,10.06,220.7108,-27.1819
60627,1,3,10.13,220.7956,-28.3101
62545,1,3,9.50,220.8521,-29.0859
62628,1,3,11.07,220.8544,-28.9735
63736,1,3,8.92,220.8409,-27.3549
64093,1,3,9.30,220.8605,-26.8417
64341,1,3,10.85,220.8739,-26.4705
64693,1,3,9.77,220.8732,-25.9565
67227,1,3,10.90,221.0539,-25.8928
67228,1,3,8.25,221.0865,-25.8955
67896,1,3,9.44,221.0848,-27.0187
68069,1,3,12.63,221.0609,-27.2907
68904,1,3,8.90,221.0074,-28.5015
69641,1,3,11.76,221.1048,-29.5653
69742,1,3,9.57,221.0697,-29.6934
70111,1,3,11.60,221.2035,-29.6989
70166,1,3,9.36,221.1467,-29.6328
70327,1,3,10.75,221.2042,-29.4039
70380,1,3,8.32,221.2383,-29.3349
70654,1,3,8.96,221.1143,-29.0135
71029,1,3,10.83,221.1904,-28.5435
71264,1,3,10.97,221.1352,-28.2357
71315,1,3,11.98,221.1055,-28.1658
71387,1,3,11.41,221.1183,-28.0601
72219,1,3,9.68,221.2217,-26.8957
73771,1,3,10.44,221.1765,-24.5832
74676,1,3,8.45,221.2726,-24.6352
74774,1,3,8.76,221.3608,-24.7944
75467,1,3,8.16,221.2651,-25.8287
76719,1,3,14.67,221.3120,-27.5788
77094,1,3,7.80,221.2442,-28.0476
78743,1,3,9.79,221.4554,-29.7018
80047,1,3,9.76,221.4048,-28.1673
80449,1,3,10.59,221.4660,-27.6709
81003,1,3,7.74,221.3852,-26.9428
81633,1,3,9.61,221.4627,-26.0664
82066,1,3,5.02,221.4995,-25.4438
82533,1,3,13.24,221.5025,-24.7351
85584,1,3,9.72,221.5390,-27.5586
86930,1,3,11.99,221.5251,-29.3529
87862,1,3,9.96,221.7371,-29.4032
89462,1,3,8.65,221.7649,-27.4804
89696,1,3,8.63,221.7141,-27.1600
90907,1,3,8.47,221.7515,-25.4649
90951,1,3,14.03,221.6544,-25.3976
91430,1,3,10.50,221.7598,-24.7329
91470,1,3,10.52,221.7009,-24.6835
91961,1,3,12.39,221.6977,-23.9200
92094,1,3,8.11,221.8547,-24.0624
92888,1,3,10.12,221.8534,-25.2700
93155,1,3,5.64,221.8440,-25.6243
