#
# Full target list for orbit 31, sector 12
# Created Tue May 21 08:37:23 EDT 2019 
# Concatenation of GI astero exo bright DDT ppas lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1871365,1,1,8.31,246.0240,-50.3704
2322864,1,1,8.29,246.1053,-48.3843
2743109,1,1,8.16,246.2430,-48.6016
2748551,1,1,7.12,246.3229,-49.1484
2840019,1,1,8.56,243.6451,-41.2085
2841831,1,1,13.14,243.5278,-40.7856
2842038,1,1,13.91,243.5262,-40.7392
2842823,1,1,13.87,243.6290,-40.5582
2926575,1,4,11.08,243.6098,-38.1334
3077811,1,1,8.98,243.7817,-40.5777
3084844,1,1,8.44,243.9046,-41.6498
3154684,1,4,12.54,243.8619,-39.0398
3156355,1,4,9.05,243.8775,-38.5385
3241060,1,1,9.51,244.7801,-41.3108
3243257,1,1,8.48,244.8116,-40.8210
3244269,1,1,9.73,244.8415,-40.6044
3324328,1,4,9.11,244.7531,-39.1679
3330491,1,4,12.75,244.7715,-37.3561
3411260,1,4,8.74,244.8935,-36.4033
3412422,1,4,10.24,244.9398,-36.7627
3531386,1,1,13.25,244.9341,-41.5653
3534420,1,1,8.57,245.0854,-41.6686
3538365,1,1,7.07,244.9986,-40.8188
3539074,1,1,9.41,245.0884,-40.6720
3657908,1,4,14.66,245.0082,-37.5246
3657911,1,4,8.27,245.0096,-37.5237
3926262,1,1,9.64,245.3008,-40.5058
3927599,1,1,9.63,245.3107,-40.2344
4061225,1,4,9.57,245.5692,-38.7109
4151449,1,1,13.79,245.5587,-41.6413
4235592,1,1,5.86,245.6455,-40.2104
4305719,1,4,12.57,245.7193,-38.1930
4312550,1,4,8.30,245.6452,-36.2177
4392712,1,4,5.53,245.7814,-37.4249
4400550,1,4,11.30,245.8915,-39.2295
5741908,1,1,8.03,246.6448,-48.1253
5746639,1,1,9.53,246.5272,-48.5004
5755827,1,1,10.25,246.6428,-48.2305
6188021,1,1,12.60,246.5483,-49.6073
8161817,1,4,9.32,235.0242,-35.7006
8282641,1,4,11.66,235.1139,-35.3590
8284683,1,4,7.32,235.1959,-35.4281
8373813,1,4,11.17,235.4319,-34.5924
8373961,1,4,12.54,235.3411,-34.6710
8374111,1,4,10.65,235.3717,-34.7566
8419600,1,4,8.44,235.5731,-35.3180
8420443,1,4,7.99,235.4716,-34.8890
8510204,1,4,11.73,235.6351,-34.0707
8511113,1,4,4.88,235.6708,-34.7106
8513057,1,4,7.99,235.6223,-35.7606
9243001,1,1,10.94,246.9294,-48.2259
10954243,2,3,13.24,247.1912,-52.4353
13168412,1,2,8.57,247.3238,-51.3391
13173449,1,2,5.76,247.3445,-51.5685
14050469,2,3,8.31,247.4890,-53.9120
14475467,1,2,8.78,247.5676,-51.1261
14572482,1,1,8.10,243.9664,-47.5741
14694502,1,1,13.57,243.9206,-43.7081
14698209,1,1,5.69,244.0376,-43.1256
14810041,1,3,8.27,252.6906,-29.0796
14811315,1,3,15.43,252.6176,-28.8164
14909996,1,2,9.63,247.4401,-50.7455
14928827,1,1,8.09,244.2280,-44.5063
15087757,1,3,7.71,252.8889,-29.4094
15161212,1,1,4.38,244.5728,-46.4498
15166556,1,1,8.71,244.5972,-45.8403
15267541,1,1,11.70,244.5625,-44.1258
15277274,1,1,8.24,244.5986,-42.7430
15277536,1,1,9.46,244.6728,-42.7086
15279406,1,1,8.31,244.6425,-42.4529
15411984,1,3,14.33,253.0761,-29.4149
15414147,1,3,14.36,253.0024,-29.7744
15501613,1,3,14.57,253.1785,-29.2201
15502175,1,3,9.59,253.1930,-29.1232
15502880,1,3,12.24,253.1458,-29.0072
