#
# Full target list for orbit 33, sector 13
# Created Tue Jun 25 09:42:10 EDT 2019 
# Concatenation of GI astero exo bright DDT ppas lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1159914,1,3,10.67,286.6210,-29.0361
1395063,1,3,6.94,287.2347,-28.7415
1479793,1,3,10.72,287.3862,-29.5002
1636399,1,3,12.30,287.5003,-28.5152
1637295,1,3,8.88,287.5665,-28.8716
1640268,1,3,7.46,287.6736,-29.8141
1640949,1,3,9.80,287.7634,-29.5587
1643195,1,3,11.05,287.6607,-28.6559
1848185,1,3,11.46,287.8304,-29.8117
1851563,1,3,8.78,288.0269,-28.4856
2028246,1,3,10.09,288.1373,-28.7676
2208752,1,3,9.24,288.6072,-28.6745
2211143,1,3,5.07,288.6519,-29.8312
2213137,1,3,13.50,288.7882,-29.0526
2213642,1,3,12.70,288.7534,-28.7999
2214365,1,3,9.41,288.7489,-28.4230
2372579,1,3,9.91,288.9171,-28.6894
2372741,1,3,9.64,288.8263,-28.7723
2372796,1,3,8.37,288.8797,-28.7992
2377428,1,3,10.32,289.0712,-28.7265
2526245,1,3,9.43,289.0913,-28.4477
2529157,1,3,9.52,289.3063,-29.9199
2529724,1,3,12.60,289.3268,-29.6118
2669197,1,3,9.47,289.4782,-28.3298
2670610,1,3,11.48,289.3771,-29.0495
6283622,1,1,12.72,282.7916,-52.6800
6285302,1,1,10.96,282.8208,-51.2020
6286534,1,1,8.02,282.7621,-50.1642
6287024,1,1,8.50,282.8692,-49.7733
6287502,1,1,9.74,282.9397,-49.4167
6289424,1,1,10.33,282.8223,-47.9687
6350362,1,1,11.26,283.3093,-48.1009
6352247,1,1,8.84,283.3339,-49.4215
6352300,1,1,9.07,283.3582,-49.4641
6353299,1,1,11.57,283.3117,-50.2017
6353895,1,1,10.54,283.3355,-50.6592
6354567,1,1,9.18,283.4395,-51.1808
6355904,1,1,7.37,283.3502,-52.2547
6356309,1,1,7.64,283.3086,-52.5887
6358250,2,4,8.14,283.6276,-53.5567
6358551,2,4,9.88,283.6114,-53.3046
6400274,1,1,9.12,283.5208,-51.5160
6401116,1,1,10.25,283.5225,-50.8737
6402314,1,1,10.42,283.6408,-49.9386
6406215,1,1,8.05,283.7918,-48.7065
6406550,1,1,7.21,283.6916,-48.9479
6407710,1,1,10.35,283.8115,-49.7678
6408102,1,1,7.64,283.8326,-50.0627
6408199,1,1,10.39,283.6680,-50.1288
6470454,1,1,11.02,283.8420,-50.8982
6471044,1,1,11.52,283.6942,-51.3377
6471553,1,1,10.02,283.7652,-51.7447
6471588,1,1,9.78,283.7761,-51.7719
6471862,1,1,9.43,283.7339,-52.0000
6472196,1,1,9.22,283.8067,-52.2792
6472730,1,1,8.68,283.7919,-52.7291
6477929,1,1,10.19,283.9211,-50.6842
6521751,1,1,9.02,283.9744,-48.6013
6521913,1,1,9.54,283.8955,-48.4957
6523078,1,1,9.29,284.1489,-48.1742
6524232,1,1,5.89,284.1334,-48.9924
6524650,1,1,10.15,284.1089,-49.2884
6526314,1,1,10.51,284.1068,-50.6027
6526871,1,1,8.00,284.1709,-51.0275
6526912,1,1,10.11,284.1635,-51.0581
6528048,1,1,9.66,284.1248,-52.0286
6528375,1,1,8.44,284.1407,-52.2880
6528628,1,1,9.44,284.0826,-52.5015
6593243,2,4,13.62,284.1441,-53.7964
6594108,2,4,9.87,284.2827,-53.2562
6596448,1,1,8.29,284.3350,-51.1772
6598224,1,1,11.74,284.2511,-49.7818
6599033,1,1,10.45,284.3524,-49.1797
6599099,1,1,8.42,284.2375,-49.1226
6599253,1,1,8.93,284.3824,-49.0192
6601480,1,1,10.69,284.4671,-48.4135
6663331,1,1,13.22,284.3997,-49.1385
6663796,1,1,10.09,284.4153,-49.4815
6663840,1,1,8.25,284.5574,-49.5116
6664011,1,1,9.48,284.4450,-49.6418
6664834,1,1,9.94,284.5231,-50.2764
6665366,1,1,9.87,284.5133,-50.7086
6665417,1,1,9.41,284.4506,-50.7413
6667908,1,1,9.97,284.4044,-52.8505
6669806,2,4,8.12,284.6724,-53.2787
6670156,2,4,5.08,284.6157,-52.9387
6670946,1,1,10.07,284.6983,-52.2298
6671577,1,1,10.79,284.6508,-51.6881
6671863,1,1,9.22,284.7141,-51.4665
6671953,1,1,9.32,284.6951,-51.3999
6671955,1,1,9.38,284.6955,-51.3991
6671992,1,1,9.57,284.6118,-51.3691
6720642,1,1,8.14,284.7015,-50.8599
6721276,1,1,10.03,284.6250,-50.6600
6721761,1,1,10.97,284.6364,-50.4768
6721880,1,1,8.07,284.5864,-50.4434
6724509,1,1,11.31,284.6940,-49.4775
6729978,1,1,7.99,284.8524,-50.3431
6730329,1,1,9.18,284.7940,-50.5959
6730896,1,1,8.91,284.8520,-51.0341
6731995,1,1,10.38,284.8520,-51.8944
6758547,1,1,10.76,284.7715,-52.5982
6761330,1,1,9.21,285.0156,-52.5939
6761527,1,1,9.18,284.9765,-52.4047
6761675,1,1,9.14,284.9485,-52.2887
6762812,1,1,9.38,285.0502,-51.3231
6943013,2,4,7.71,285.5857,-53.5079
6949210,1,2,12.78,285.8284,-48.9074
7012893,1,2,8.81,285.9710,-48.8607
7082633,1,2,11.19,286.2018,-50.2660
7083243,1,2,10.46,286.1304,-49.7740
7084116,1,2,8.97,286.1041,-49.0716
7084946,1,2,5.71,286.1667,-48.4040
7088082,1,2,14.65,286.3564,-49.9407
7088246,1,2,13.23,286.3668,-50.0674
21249978,1,1,6.92,267.5787,-47.2306
21256340,1,1,8.38,267.5052,-45.9133
