#
# Full target list for orbit 35, sector 14
# Created Wed Jul 31 15:53:37 EDT 2019 
# Concatenation of GI astero exo bright DDT ppas lists
#
TICID,Camera,CCD,Tmag,RA,Dec
7582594,2,3,8.57,272.3966,45.8308
7582633,2,3,9.92,272.3288,45.9244
7582634,2,3,10.48,272.3307,45.9255
7583285,2,2,11.30,272.3711,47.2259
7584049,2,2,8.50,272.5282,47.0887
7584971,2,3,8.09,272.5415,45.2208
7585322,2,3,8.90,272.5121,44.5446
7618785,2,3,5.99,272.7084,44.5982
7619197,2,3,8.08,272.7299,45.3263
7620704,2,2,5.81,272.8927,47.6596
7622101,2,3,17.50,272.9312,44.9170
7622188,2,3,9.80,272.8379,44.7468
7677087,2,3,10.43,273.0430,44.3394
7677372,2,3,9.89,273.0188,44.5848
7678444,2,3,10.04,273.0725,45.5767
7679229,2,3,9.70,272.9907,46.2330
7683887,2,3,10.83,273.2518,45.1271
7684333,2,3,9.92,273.1759,44.7488
7684339,2,3,10.19,273.1642,44.7386
7694175,2,3,8.25,273.3484,45.5908
7694545,2,3,8.72,273.3606,46.2237
7694690,2,3,8.64,273.4250,46.4834
7718560,2,3,8.15,274.1082,44.2924
7718665,2,3,10.99,274.0372,44.4609
7719339,2,3,10.93,273.9834,45.5407
7719424,2,3,9.73,274.0394,45.6686
7720786,2,2,7.92,274.1726,47.9110
7772691,2,3,9.49,274.2418,46.7965
7773413,2,3,8.53,274.1294,45.5597
7773681,2,3,12.78,274.2197,45.1252
7773822,2,3,10.74,274.2316,44.9051
7775012,2,3,9.84,274.2396,43.0595
7778483,2,3,9.97,274.3945,46.1368
7800845,2,3,11.44,274.9234,43.6123
7802067,2,3,10.13,274.8936,42.0270
7802700,2,3,8.25,275.1828,47.0873
7849727,2,3,10.00,275.4096,42.1687
7850185,2,3,11.67,275.2772,42.6936
7850590,2,3,9.74,275.3366,43.2368
7852048,2,3,10.90,275.3612,45.0932
7853440,2,3,8.97,275.4063,47.1452
7854637,2,3,10.82,275.4461,46.9228
7854743,2,3,9.34,275.4395,46.7751
7854956,2,3,9.42,275.5291,46.4403
7855701,2,3,9.48,275.4852,45.4032
7856273,2,3,8.10,275.4568,44.6775
7857074,2,3,8.13,275.4305,43.5883
7896398,2,3,8.36,275.4837,42.1468
7896567,2,3,9.87,275.5119,41.9777
7896684,2,3,10.51,275.6819,42.0042
7897707,2,3,10.07,275.6052,43.1499
7899754,2,3,9.40,275.6018,45.7437
7899784,2,3,11.07,275.6221,45.7814
7902057,2,3,11.22,275.7791,46.8907
7902438,2,3,6.96,275.7485,46.3631
7903348,2,3,7.93,275.7675,45.2206
7903477,2,3,9.62,275.8226,45.0726
7903553,2,3,9.01,275.8500,44.9666
7986272,2,3,10.15,275.8188,43.8223
7986836,2,3,8.30,275.8607,43.1635
8832101,1,3,13.22,287.0805,21.0551
8833050,1,3,14.31,287.1421,20.9084
9181177,1,3,11.73,287.2451,20.7116
9181901,1,3,12.75,287.1711,20.8100
9183821,1,3,13.16,287.2110,21.0916
9186709,1,3,12.32,287.2367,21.5619
9188971,1,3,12.96,287.1782,21.9378
9190808,1,3,13.39,287.1722,22.2492
9313696,1,3,11.35,287.2939,22.1121
9639581,1,3,13.13,287.4241,20.0716
9642467,1,3,13.04,287.4595,20.4557
9646151,1,3,12.66,287.4390,20.9753
9773279,1,3,8.24,287.5322,23.8493
9774913,1,3,12.87,287.5950,23.7226
9778824,1,3,13.54,287.5523,23.0187
9864248,1,3,13.78,287.6045,22.3063
9864632,1,3,8.17,287.5519,22.2496
9867665,1,3,9.68,287.6338,21.7627
9875103,1,3,14.35,287.6721,20.6124
10122650,1,3,12.40,287.7964,19.2661
10123228,1,3,12.24,287.7740,19.3397
10128109,1,3,13.04,287.7658,19.9929
10129567,1,3,8.50,287.7827,20.1919
10224317,1,3,8.09,287.6867,21.1891
10225621,1,3,12.60,287.6978,21.3918
10236432,1,3,8.71,287.7936,23.1529
10331322,1,3,13.45,287.8933,23.1959
10337969,1,3,11.76,287.8402,22.0945
10339934,1,3,12.80,287.9017,21.7904
10437731,1,3,13.41,287.8740,20.6314
10446259,1,3,13.53,287.9171,19.4628
10757120,1,1,13.57,303.6666,41.8261
10759029,1,1,13.87,303.7226,41.3383
10849428,1,1,12.99,303.7143,39.9199
10856385,1,1,14.00,303.6650,38.8385
10861742,1,1,8.38,303.7359,38.1384
10891640,1,3,9.29,297.7620,25.9543
10982979,1,1,8.20,303.7603,37.3900
10984531,1,1,14.43,303.6618,37.2062
10988057,1,1,4.79,303.6339,36.8067
10988549,1,1,5.39,303.6651,36.7521
10994342,1,1,8.10,303.6210,36.0353
11028102,1,3,14.05,297.8374,24.6061
11114168,1,1,15.21,303.8750,36.9101
11119600,1,1,11.39,303.8232,37.5289
11120931,1,1,7.08,303.7702,37.6960
11127027,1,3,13.60,297.9232,25.4758
11129614,1,3,12.50,297.9151,25.7528
11131923,1,3,14.73,297.9160,26.0125
11145790,1,3,5.92,297.8788,27.4602
11205225,1,1,12.07,303.7956,38.7924
11215259,1,1,14.49,303.8845,40.3317
11219300,1,1,13.40,303.8549,41.0771
11220379,1,1,13.80,303.9075,41.2906
11339866,1,1,12.74,303.8817,41.6645
11344264,1,1,14.13,303.9199,41.1750
11348580,1,1,13.46,304.0479,40.3297
11349226,1,1,13.92,304.0053,40.2248
11472367,1,1,11.85,304.0142,38.5177
11473555,1,1,13.50,304.0622,38.3509
11477582,1,1,11.48,304.0574,37.8430
11583005,1,1,12.62,304.1585,36.6771
11617142,1,3,8.87,298.1120,26.1200
11618492,1,3,5.98,298.0937,25.9624
11626063,1,3,15.17,298.1162,25.1589
11627579,1,3,4.85,298.0066,24.9921
11695948,1,1,14.34,304.1244,37.6584
11695968,1,1,14.53,304.0912,37.6597
11696250,1,1,9.17,304.1530,37.6869
11698190,1,1,9.02,304.1217,37.9225
11708527,1,1,13.59,304.1041,39.2809
11709250,1,1,13.43,304.1484,39.4492
11713504,1,3,12.05,298.0066,23.9965
11713886,1,3,14.86,298.0071,23.9342
11716579,1,3,16.03,298.2395,24.2248
11797880,1,1,12.54,304.2575,40.9982
11797893,1,1,11.77,304.2537,40.9942
11798617,1,1,8.07,304.2495,40.8437
11910626,1,1,3.78,304.2304,40.3651
11914170,1,1,13.38,304.2735,39.7491
11919137,1,1,12.16,304.3370,39.1071
12029932,1,1,9.28,304.3491,36.1268
12032513,1,1,13.99,304.4206,36.1329
12032702,1,1,14.43,304.4576,36.1593
12139132,1,1,14.01,304.4041,36.8174
12145778,1,1,8.11,304.3753,37.6155
12149245,1,1,4.26,304.4466,38.0329
12249117,1,1,10.56,304.4319,39.3434
12249164,1,1,9.72,304.4258,39.3495
12249935,1,1,8.13,304.5000,39.4910
12254045,1,1,13.33,304.4417,40.1683
12259988,1,1,12.88,304.4891,41.3374
12333486,1,3,8.96,298.3319,24.8616
12339621,1,3,4.70,298.3655,24.0798
12454902,1,3,15.51,298.5116,25.1205
12455721,1,3,12.71,298.4351,25.2077
12456725,1,3,14.72,298.5204,25.3137
12485427,1,1,13.49,304.6166,38.9395
12486276,1,1,8.46,304.6237,38.8777
12492069,1,1,14.12,304.5669,38.5081
12494325,1,1,12.71,304.5849,38.3363
12494332,1,1,12.62,304.5838,38.3352
12494582,1,1,9.79,304.5394,38.3077
12497908,1,1,13.17,304.6574,37.9135
12505193,1,1,5.58,304.6197,36.9999
12578145,1,1,12.45,304.8258,40.9515
