#
# Full target list for orbit 37, sector 15
# Created Wed Aug 14 21:54:32 EDT 2019 
# Concatenation of GI astero exo bright DDT ppas lists
#
TICID,Camera,CCD,Tmag,RA,Dec
10747057,4,1,8.93,212.3885,53.8912
10757120,1,2,13.57,303.6666,41.8261
10759029,1,2,13.87,303.7226,41.3383
10849428,1,2,12.99,303.7143,39.9199
10856385,1,2,14.00,303.6650,38.8385
10861742,1,2,8.38,303.7359,38.1384
10982979,1,2,8.20,303.7603,37.3900
10984531,1,2,14.43,303.6618,37.2062
10988057,1,2,4.79,303.6339,36.8067
10988549,1,2,5.39,303.6651,36.7521
10994342,1,2,8.10,303.6210,36.0353
11113164,1,2,10.34,303.9089,36.7935
11114168,1,2,15.21,303.8750,36.9101
11114789,1,2,13.65,303.9162,36.9867
11119600,1,2,11.39,303.8232,37.5289
11120931,1,2,7.08,303.7702,37.6960
11205157,1,2,11.65,303.7799,38.7820
11205225,1,2,12.07,303.7956,38.7924
11215259,1,2,14.49,303.8845,40.3317
11219300,1,2,13.40,303.8549,41.0771
11220379,1,2,13.80,303.9075,41.2906
11339866,1,2,12.74,303.8817,41.6645
11344264,1,2,14.13,303.9199,41.1750
11348580,1,2,13.46,304.0479,40.3297
11349226,1,2,13.92,304.0053,40.2248
11471308,1,2,14.38,303.9910,38.6765
11472367,1,2,11.85,304.0142,38.5177
11473555,1,2,13.50,304.0622,38.3509
11477582,1,2,11.48,304.0574,37.8430
11480287,1,2,11.03,303.9865,37.5085
11480757,1,2,11.57,303.9830,37.4543
11583005,1,2,12.62,304.1585,36.6771
11695948,1,2,14.34,304.1244,37.6584
11695968,1,2,14.53,304.0912,37.6597
11696250,1,2,9.17,304.1530,37.6869
11698190,1,2,9.02,304.1217,37.9225
11704852,1,2,11.93,304.1124,38.7613
11705892,1,2,8.04,304.1683,38.8993
11708527,1,2,13.59,304.1041,39.2809
11709250,1,2,13.43,304.1484,39.4492
11793277,1,2,10.35,304.1741,41.9627
11797880,1,2,12.54,304.2575,40.9982
11797893,1,2,11.77,304.2537,40.9942
11798617,1,2,8.07,304.2495,40.8437
11893760,4,3,9.36,178.0487,53.6887
11895653,4,3,7.74,178.4586,53.6948
11910626,1,2,3.78,304.2304,40.3651
11914170,1,2,13.38,304.2735,39.7491
11918748,1,2,11.27,304.2514,39.1387
11919137,1,2,12.16,304.3370,39.1071
11938816,4,3,10.28,179.0363,53.7682
11940810,4,3,8.62,179.3804,53.5541
12029932,1,2,9.28,304.3491,36.1268
12032513,1,2,13.99,304.4206,36.1329
12032702,1,2,14.43,304.4576,36.1593
12139132,1,2,14.01,304.4041,36.8174
12142530,1,2,13.06,304.4273,37.2333
12145778,1,2,8.11,304.3753,37.6155
12149245,1,2,4.26,304.4466,38.0329
12249117,1,2,10.56,304.4319,39.3434
12249164,1,2,9.72,304.4258,39.3495
12249935,1,2,8.13,304.5000,39.4910
12254045,1,2,13.33,304.4417,40.1683
12259988,1,2,12.88,304.4891,41.3374
12485427,1,2,13.49,304.6167,38.9395
12486276,1,2,8.46,304.6237,38.8777
12492069,1,2,14.12,304.5669,38.5081
12494325,1,2,12.71,304.5849,38.3363
12494332,1,2,12.62,304.5838,38.3353
12494582,1,2,9.79,304.5394,38.3077
12497908,1,2,13.17,304.6574,37.9135
12505193,1,2,5.58,304.6197,36.9999
12578145,1,2,12.45,304.8258,40.9515
12578537,1,2,7.05,304.8404,40.8879
12584344,1,2,13.61,304.9579,39.7868
12669412,1,2,14.70,304.9276,39.2122
12670497,1,2,8.41,304.8805,39.0573
12672792,1,2,7.38,304.8851,38.7316
12673900,1,2,10.16,304.9035,38.5890
12809834,1,2,12.19,305.0348,35.9782
12810761,1,2,8.36,305.0481,36.1030
12811898,1,2,7.78,304.9911,36.2689
12915124,1,2,11.34,304.9871,37.8353
12915199,1,2,14.31,305.0290,37.8490
12920495,1,2,10.52,305.0442,38.6255
12921082,1,2,8.97,305.0891,38.6999
12926532,1,2,10.87,305.0368,39.4794
12930519,1,2,13.34,304.9948,40.2794
13002588,1,2,8.37,305.1719,41.4744
13002932,1,2,9.59,305.1177,41.3643
13118768,1,2,8.73,305.2128,39.0126
13123877,1,2,8.20,305.1962,38.2852
13124502,1,2,12.46,305.2554,38.2050
13125314,1,2,13.56,305.1396,38.1005
13127530,1,2,8.06,305.2309,37.7321
13238985,1,2,13.95,305.2301,36.4188
13249363,1,2,4.74,305.3412,36.9321
13252446,1,2,6.93,305.3140,37.4086
13325866,1,2,5.09,305.4106,37.5330
13332837,1,2,9.41,305.3964,38.6132
13342593,1,2,13.21,305.2673,40.2191
13415581,1,2,4.67,305.4009,40.4472
13417254,1,2,7.97,305.3234,40.8007
13420309,1,2,13.84,305.4037,41.5664
13421197,1,2,12.79,305.3589,41.8289
13424469,1,2,5.45,305.5128,41.1321
13431346,1,2,1.89,305.5571,40.2567
13434305,1,2,8.01,305.5089,39.8329
13470446,1,3,7.06,320.1487,28.8331
13473357,1,3,13.39,320.0388,26.6218
13473824,1,3,5.87,320.1588,26.2499
13487842,1,3,9.57,320.0855,25.0770
13493379,1,3,10.87,320.2266,25.3851
13493414,1,3,10.10,320.2796,25.3976
13497477,1,3,10.38,320.2530,27.2115
13499307,1,3,10.33,320.2797,27.9196
13499636,1,3,10.60,320.2020,28.0559
13549299,1,2,8.01,305.4622,38.6294
13550840,1,2,11.86,305.5166,38.4354
13558301,1,2,13.04,305.5412,37.3388
13568268,1,3,7.64,320.3931,28.5643
13570368,1,3,8.83,320.3911,27.0060
13573545,1,3,10.21,320.3557,24.3466
13574820,1,3,8.05,320.4680,24.6723
13575207,1,3,8.47,320.5486,25.0071
13576069,1,3,8.47,320.5348,25.7543
13576890,1,3,9.58,320.4599,26.4415
13649094,1,3,9.96,320.4919,27.4537
13657340,1,3,9.00,320.6876,26.1096
13658517,1,3,16.43,320.5849,25.0742
13658692,1,3,9.30,320.6789,24.9079
