#
# Full target list for orbit 41, sector 17
# Created Mon Sep 30 14:28:32 EDT 2019 
# Concatenation of GI astero exo bright DDT ppas lists
#
TICID,Camera,CCD,Tmag,RA,Dec
5614326,1,4,10.17,31.9341,25.7754
5614375,1,4,11.95,31.8840,25.5871
5614986,1,4,10.90,32.1394,24.5189
5615021,1,4,12.66,32.0112,24.6285
5615060,1,4,4.88,32.0711,24.8193
5636539,1,4,11.69,32.1873,25.6074
5636651,1,4,13.43,32.1993,25.2354
5636774,1,4,8.28,32.2216,24.8264
5636984,1,4,9.87,32.2432,23.9837
12633772,3,2,12.46,342.9271,65.3307
12709436,3,2,9.22,342.9147,63.8840
12711731,3,2,5.97,342.8729,62.9719
12716405,3,1,12.81,342.8536,61.3241
12788432,3,1,12.03,343.0881,60.2437
12788720,3,1,13.07,343.0009,60.3388
12788738,3,1,15.62,343.0092,60.3486
12789316,3,1,14.29,342.9844,60.5463
12790306,3,1,6.75,343.1908,60.9161
12794832,3,2,7.51,343.1273,62.4405
12868098,3,2,12.54,343.3141,65.5037
12954962,3,1,8.35,343.4182,61.1110
12956015,3,1,15.08,343.3873,60.7640
12958037,3,1,4.36,343.2659,60.1011
12961695,3,1,8.38,343.5062,60.8532
12962163,3,1,10.38,343.5816,60.9947
13025152,3,2,16.07,343.6153,62.8202
13026234,3,2,12.26,343.6282,63.1483
13029647,3,2,13.80,343.6979,64.3743
13032558,3,2,13.88,343.6173,65.6533
13036109,3,2,12.71,343.8296,64.5179
13037534,3,2,10.00,343.8759,64.0086
13104869,3,2,7.59,343.9269,62.3063
13109918,3,1,14.66,343.9331,60.5177
13113483,3,1,11.30,344.0022,60.4549
13211109,3,2,4.77,343.9935,62.4323
13211274,3,2,13.31,344.1580,62.4965
13212836,3,2,7.21,344.1288,62.8686
13213421,3,2,14.53,344.1610,63.0515
13276487,3,2,8.06,344.3706,65.6227
13279418,3,2,13.02,344.4142,64.3150
13284088,3,2,7.03,344.1966,62.7271
13379576,3,1,8.63,344.6545,60.0294
13385270,3,2,11.79,344.5657,61.7406
13386190,3,2,13.36,344.5715,62.0745
13387530,3,2,12.56,344.5960,62.6267
13389059,3,2,7.08,344.6658,63.0771
13468023,3,2,12.07,344.5683,65.4747
13468323,3,2,13.54,344.6363,65.6140
13822031,1,2,13.34,11.6845,29.7225
13822330,1,2,13.77,11.5866,28.6846
13822666,1,2,10.50,11.6471,27.5320
13822888,1,2,9.48,11.6107,26.7746
13824109,1,2,10.47,11.7816,25.5012
13824278,1,2,8.69,11.7618,26.0759
13824473,1,2,10.80,11.7265,26.8210
13824523,1,2,11.65,11.7811,27.0053
13824524,1,2,9.29,11.7704,27.0054
13824611,1,2,8.33,11.7400,27.3133
13825530,1,2,8.89,11.8888,29.5227
