#
# Full target list for orbit 43, sector 18
# Created Mon Nov  4 14:27:41 EST 2019 
# Concatenation of GI astero exo bright DDT ppas lists
#
TICID,Camera,CCD,Tmag,RA,Dec
5613228,1,3,9.85,31.9955,29.4515
5634829,1,3,9.31,32.1149,28.9737
5634949,1,3,10.79,32.0762,29.3324
5638341,1,3,10.45,32.3926,28.4163
5638536,1,3,9.69,32.3142,29.0153
5642796,1,3,12.91,32.4303,28.1439
5645224,1,3,9.66,32.6454,27.8673
5645557,1,3,10.53,32.6068,28.8390
5645875,1,3,8.18,32.6040,29.8051
5646185,1,3,10.43,32.7444,29.1379
5646420,1,3,10.46,32.7322,28.4293
5646504,1,3,10.43,32.7283,28.1716
5672399,1,3,12.73,32.8245,27.5664
5672410,1,3,9.56,32.8772,27.5986
5673771,1,3,8.83,32.9710,28.3204
5674169,1,3,9.34,33.0361,27.1386
5720689,1,3,10.60,33.1322,26.8641
5720866,1,3,10.52,33.1178,27.4493
5721576,1,3,11.34,33.1553,29.5961
5722346,1,3,8.89,33.2369,28.0174
5722370,1,3,10.18,33.2511,27.9433
5722472,1,3,10.45,33.2533,27.6404
5722534,1,3,10.14,33.2827,27.4842
5722607,1,3,10.20,33.3247,27.2219
5722828,1,3,8.72,33.3014,26.5368
5734229,1,3,9.08,33.3940,27.9443
5734477,1,3,12.99,33.4228,28.7840
5734579,1,3,9.28,33.3566,29.1380
5735357,1,3,8.27,33.5454,28.3938
5735510,1,3,9.61,33.4877,27.9202
5735668,1,3,8.66,33.5596,27.5057
5735829,1,3,11.45,33.5409,27.0204
5736215,1,3,10.99,33.5638,25.8643
5738018,1,3,10.03,33.6831,28.1771
5738204,1,3,5.53,33.6593,28.6906
10161397,2,1,11.92,27.5532,61.8884
10161517,2,1,14.24,27.4558,61.9216
10163838,2,1,12.82,27.5453,62.6251
10344880,2,1,13.78,28.0805,62.0886
10352491,2,1,9.13,27.9661,64.4339
10352533,2,1,14.16,28.0288,64.4486
10355226,2,1,13.04,27.9002,65.2589
10422358,2,1,12.67,28.3449,61.1912
10422498,2,1,8.72,28.4087,61.2449
10425404,2,1,10.74,28.5133,62.0855
10426191,2,1,12.36,28.4171,62.2851
10428030,2,1,8.57,28.4662,62.7807
10506521,2,1,8.26,28.6227,64.7932
10506748,2,1,12.45,28.6520,64.7322
10508208,2,1,12.95,28.6396,64.3244
10510382,2,1,3.42,28.5993,63.6700
10604247,2,1,8.13,28.7275,62.0873
10605297,2,1,12.82,28.6923,61.8094
10608775,2,1,12.69,28.7942,61.0535
10790655,2,1,10.64,28.8274,65.6303
10868267,2,1,5.73,29.0700,62.1979
10870826,2,1,12.86,29.2269,61.5430
10872565,2,1,13.12,29.2423,61.0750
10877783,2,1,5.82,29.4174,60.2189
10969843,2,1,13.65,29.3135,62.6338
10973895,2,1,12.65,29.3418,63.6711
11066690,2,1,8.76,29.6523,63.7946
11154973,2,1,14.92,29.7321,61.1696
11155110,2,1,14.21,29.5630,61.1369
11158867,2,1,10.59,29.6591,60.0988
11159802,2,1,5.31,29.9132,60.0082
11233542,2,1,8.58,29.8382,60.4610
11236789,2,1,12.70,29.9576,61.3361
11325040,2,1,5.31,29.9089,64.6215
11329657,2,1,12.11,30.0011,65.7186
11332689,2,1,12.60,30.1553,65.2667
11333775,2,1,13.21,30.2260,64.9450
11334563,2,1,8.21,30.2313,64.7218
11335421,2,1,13.67,30.2489,64.4823
11337032,2,1,12.21,30.0795,64.0353
11432068,2,1,11.00,30.1198,61.4634
11434488,2,1,8.19,30.1878,60.8091
11437325,2,1,11.10,30.1398,60.0090
11995368,2,1,12.61,31.1927,65.9435
11996814,2,1,11.65,31.1705,65.2894
12002586,2,1,12.32,31.2330,63.2486
12104810,2,1,12.82,31.1463,60.9571
12105839,2,1,14.68,31.0032,60.6195
12108208,2,1,13.25,32.6188,65.7487
12114384,2,1,7.85,32.6656,63.5982
12221925,2,1,6.32,32.6068,59.9795
12315876,2,1,7.84,32.8400,62.3479
12317173,2,1,13.31,32.7131,62.7475
12317692,2,1,14.02,32.7996,62.9179
12325486,2,1,12.88,32.7581,65.6403
12479867,2,1,8.32,33.3584,60.5427
12550101,2,1,12.54,33.3998,63.9105
12554500,2,1,8.42,33.4032,65.4265
12557102,2,1,13.75,33.4582,65.4069
12633772,3,1,12.46,342.9271,65.3307
12636496,2,1,14.12,33.5049,63.2721
12643726,2,1,11.20,33.6441,60.9439
12646163,2,1,12.38,33.4490,60.1207
12647534,2,1,9.88,33.8522,60.1393
12647620,2,1,10.72,33.8693,60.1624
12709436,3,1,9.22,342.9147,63.8840
12711731,3,1,5.97,342.8729,62.9719
12734824,2,1,12.94,33.8991,61.3676
12736655,2,1,13.85,33.7456,61.9695
12737138,2,1,14.56,33.7354,62.1462
12737405,2,1,9.00,33.8352,62.2305
12745687,2,1,11.52,33.7524,64.7494
12746149,2,1,15.18,33.9118,64.8925
12746388,2,1,12.90,33.7981,64.9677
12824209,2,1,14.91,33.8308,65.4832
12828162,2,1,8.06,33.9478,64.9310
12828458,2,1,12.83,33.9193,64.8299
12833596,2,1,5.28,33.9808,63.2363
12868098,3,1,12.54,343.3141,65.5037
12906363,2,1,14.74,34.5259,65.7402
12909405,2,1,12.87,34.4725,64.6354
12982367,2,1,13.01,34.6268,62.1412
12982693,2,1,13.38,34.4785,62.0134
12984342,2,1,13.36,34.4087,61.3860
12989571,2,1,11.54,36.0689,65.5605
12989930,2,1,12.33,36.0538,65.4034
13025152,3,1,16.07,343.6153,62.8202
13026234,3,1,12.26,343.6282,63.1483
13029647,3,1,13.80,343.6979,64.3743
13032558,3,1,13.88,343.6173,65.6533
13036109,3,1,12.71,343.8296,64.5179
13037534,3,1,10.00,343.8759,64.0086
13078838,2,1,12.57,35.8984,63.9188
13079020,2,1,12.59,36.0644,63.8598
13079472,2,1,12.26,36.0787,63.7158
13079486,2,1,12.81,36.0815,63.7130
13081444,2,1,14.30,35.9166,63.0404
13089351,2,1,8.24,35.9030,59.9211
13188548,2,1,13.37,36.2617,60.1158
13194908,2,1,8.18,36.2164,62.4762
13201438,2,1,9.57,36.3335,64.7450
13211109,3,1,4.77,343.9935,62.4323
13211274,3,1,13.31,344.1580,62.4965
13212836,3,1,7.21,344.1288,62.8686
13260257,2,1,12.82,36.1079,65.7059
13267133,2,1,13.49,36.5321,63.5188
13270128,2,1,14.39,36.3627,62.4982
13276487,3,1,8.06,344.3706,65.6227
13279418,3,1,13.02,344.4142,64.3150
13284088,3,1,7.03,344.1966,62.7271
13285318,3,1,8.28,344.3869,62.3578
13351941,2,1,6.91,36.4173,61.5496
13352159,2,1,12.47,36.3486,61.4537
13360804,2,1,12.87,36.7020,61.2980
13389059,3,1,7.08,344.6658,63.0771
13450258,2,1,12.17,36.8048,62.7959
13459076,2,1,12.57,36.7460,65.8761
13460363,2,1,8.46,37.0018,65.4635
13461935,2,1,14.42,36.9987,64.8060
