#
# Full target list for orbit 47, sector 20
# Created Mon Dec 30 08:50:04 EST 2019 
# Concatenation of GI astero exo bright DDT ppas lists
#
TICID,Camera,CCD,Tmag,RA,Dec
4076535,1,4,8.18,114.1300,35.4236
4076914,1,4,11.73,114.1370,34.5820
4077199,1,4,10.48,114.0653,33.9827
4077772,1,4,7.44,114.0583,32.8355
4078042,1,4,10.99,114.0779,32.2314
4132019,1,4,10.26,114.2948,31.0230
4132133,1,4,8.06,114.2070,31.2411
4132158,1,4,9.83,114.2579,31.3141
4132769,1,4,13.71,114.2924,32.5846
4132863,1,4,10.55,114.2386,32.7925
4133580,1,4,9.93,114.2425,34.3841
4134693,1,4,10.24,114.3448,35.0197
4134996,1,4,13.16,114.3903,34.2580
4135255,1,4,8.02,114.3474,33.6599
4135613,1,4,9.66,114.3913,32.9038
4136827,1,4,11.92,114.3744,30.4897
4161020,1,4,10.81,114.5135,30.1320
4162799,1,4,7.87,114.5411,33.7075
4163109,1,4,9.66,114.5830,34.4503
4163200,1,4,9.72,114.4885,34.6563
4164018,1,4,11.26,114.6645,35.2787
4164118,1,4,4.79,114.6372,35.0487
4164713,1,4,7.49,114.6257,33.7118
4164940,1,4,5.75,114.5864,33.1866
4165850,1,4,10.19,114.6394,31.3945
4165965,1,4,9.46,114.7129,31.1301
4166514,1,4,9.76,114.6428,29.9196
4166997,1,4,12.26,114.8096,30.8502
4194543,1,4,12.85,114.7922,33.5035
4194583,1,4,9.70,114.8400,33.5935
4194999,1,4,4.49,114.7911,34.5837
4195670,1,4,9.97,114.9811,35.7233
4196732,1,4,9.81,114.8982,33.4616
4196781,1,4,9.04,114.9160,33.3772
4196967,1,4,11.14,114.9637,32.9785
4197040,1,4,10.80,115.0043,32.8274
4197458,1,4,5.80,114.9752,32.0095
4197629,1,4,10.71,114.9877,31.6562
4199640,1,4,10.45,115.0925,32.2017
4199887,1,4,10.79,115.0746,32.7285
4244057,1,4,10.04,115.1651,35.7463
4244059,1,4,11.49,115.2454,35.7454
4244578,1,4,7.99,115.1709,34.6961
4244980,1,4,9.25,115.2502,33.8283
4247397,1,4,8.20,115.3273,30.5554
4247738,1,4,14.54,115.3284,31.2428
4248151,1,4,8.97,115.3542,32.0761
4248278,1,4,14.19,115.3913,32.3274
4248446,1,4,9.55,115.3004,32.6323
4248830,1,4,8.67,115.3832,33.4094
4249276,1,4,10.69,115.3802,34.3437
4249474,1,4,9.12,115.3829,34.7754
4282896,1,4,8.39,115.5201,35.7274
4285916,1,4,5.50,115.5805,30.1678
4286466,1,4,9.06,115.6117,31.2104
4287252,1,4,10.93,115.6340,32.8111
4287299,1,4,8.04,115.6234,32.9171
4287518,1,4,10.31,115.6420,33.3792
4287805,1,4,5.61,115.6809,34.0002
4297318,1,4,10.60,115.7770,33.9592
4297963,1,4,8.98,115.8370,32.6653
4298199,1,4,10.39,115.7905,32.1962
4298281,1,4,11.05,115.8317,32.0401
4298296,1,4,8.72,115.7307,32.0100
4298631,1,4,10.35,115.8039,31.3399
4299199,1,4,9.66,115.7074,30.3370
4299486,1,4,9.56,115.9522,30.0760
4299830,1,4,11.23,115.9748,30.7477
4300927,1,4,5.21,115.8740,32.4468
4301593,1,4,8.34,115.8609,33.1339
4302471,1,4,11.04,115.8955,34.0686
4303048,1,4,8.59,115.8654,34.6983
4303365,1,4,12.04,115.9712,35.0190
4305219,1,4,11.87,116.0157,34.8624
4305501,1,4,12.21,116.0880,34.5316
4371735,1,4,11.06,116.1256,33.6233
4371941,1,4,8.77,116.0756,33.2329
4373827,1,4,14.94,116.1464,30.3524
4373832,1,4,11.74,116.2056,30.3691
4374147,1,4,9.16,116.1290,30.9769
4374226,1,4,7.91,116.1588,31.1139
4374280,1,4,13.16,116.2525,31.2113
4374482,1,4,10.17,116.2201,31.6862
4375248,1,4,9.70,116.1935,33.1358
4375301,1,4,10.41,116.1760,33.2596
4375457,1,4,8.20,116.1392,33.5652
4375520,1,4,14.56,116.2341,33.6995
4375658,1,4,10.49,116.2347,33.9773
4375714,1,4,10.60,116.1594,34.0727
4376919,1,4,10.53,116.2708,35.1008
4377008,1,4,11.04,116.3288,34.8665
4386427,1,4,11.58,116.5360,30.5857
4386949,1,4,10.15,116.4460,31.5879
4387528,1,4,10.76,116.5381,32.7177
4388434,1,4,7.80,116.4223,34.5554
4426773,1,4,13.58,116.6714,30.2204
4427741,1,4,10.62,116.8203,31.6607
4427861,1,4,8.10,116.7925,31.9367
