#
# Full target list for orbit 49, sector 21
# Created Mon Jan 27 21:02:19 EST 2020 
# Concatenation of GI astero exo bright DDT ppas lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1027045,1,4,10.48,153.8698,28.8892
1027083,1,4,12.51,153.7973,28.6956
1027928,1,4,8.63,154.0425,24.3385
1028069,1,4,10.37,153.9137,25.1001
1028186,1,4,8.93,153.9692,25.8336
1042290,1,4,9.72,153.9363,27.4174
1042432,1,4,11.40,153.9292,28.3552
1042770,1,4,5.52,154.0597,29.3103
1042868,1,4,5.87,154.1166,28.6819
1042949,1,4,9.59,154.1400,28.1726
1042982,1,4,14.42,154.1433,27.8610
1043105,1,4,8.12,154.1705,27.1071
1043354,1,4,16.66,154.0704,25.4157
1043359,1,4,4.80,154.1732,25.3707
1043374,1,4,7.94,154.1416,25.2965
1043379,1,4,9.87,154.1258,25.2893
1043581,1,4,9.45,154.1478,24.2672
1043761,1,4,10.15,154.2967,24.6545
1043853,1,4,8.65,154.2815,25.1297
1043986,1,4,7.00,154.2370,25.8591
1044165,1,4,11.82,154.2495,27.0394
1044246,1,4,11.58,154.2195,27.5304
1044430,1,4,13.58,154.2749,28.5418
1065668,1,4,9.00,154.3455,28.0639
1065911,1,4,11.05,154.3872,26.4683
1065959,1,4,9.88,154.4210,26.2703
1066142,1,4,9.78,154.3282,25.2130
1066665,1,4,17.03,154.5179,25.5522
1066699,1,4,9.99,154.5675,25.7853
1066738,1,4,11.52,154.5672,26.0477
1066927,1,4,9.97,154.4598,27.2014
1066957,1,4,6.58,154.5437,27.4155
1067524,1,4,9.86,154.6247,28.6521
1067536,1,4,11.00,154.5942,28.5352
1067732,1,4,8.87,154.6954,27.2141
1067965,1,4,11.53,154.6066,25.6704
1095565,1,4,12.07,154.7186,26.3623
1095587,1,4,10.69,154.7550,26.5313
1096524,1,4,10.06,154.9324,27.5634
1096672,1,4,10.45,154.9555,26.5960
1097431,1,4,10.68,155.0050,25.7778
1097546,1,4,8.41,154.9855,26.5665
1097723,1,4,8.24,154.9826,27.6757
1097851,1,4,8.43,155.0094,28.4393
1100695,1,4,10.70,155.0003,28.9524
1100839,1,1,9.44,155.0171,29.8599
1101161,1,4,9.61,155.1719,28.2964
1101202,1,4,11.62,155.1231,27.9982
1102315,1,4,8.12,155.2920,26.6963
1102350,1,4,8.17,155.2927,26.8859
1103005,1,4,12.69,155.4660,28.4476
1103172,1,4,10.45,155.4445,27.2467
1103206,1,4,9.76,155.4035,27.0382
1103214,1,4,13.17,155.4152,26.9665
1115423,1,4,13.09,155.5546,26.7877
1115703,1,4,14.30,155.5525,28.6007
1116124,1,4,10.45,155.6737,28.3037
1120305,1,4,9.46,155.7705,28.6933
3645653,1,3,14.34,127.1538,25.3342
3645742,1,3,11.09,127.1919,25.6229
3664719,1,3,6.84,127.4563,26.1928
3664898,1,3,10.50,127.4487,26.7726
3664978,1,3,10.08,127.4712,27.0097
3666587,1,3,8.95,127.5904,27.7651
3696356,1,3,9.82,127.7110,25.1516
3696403,1,3,14.65,127.6708,25.2935
3697165,1,3,9.78,127.7432,27.7460
