TICID,Camera,CCD,Tmag,RA,Dec
7545799,2,4,10.73,258.5273,46.8071
7545870,2,4,11.61,258.4683,46.5819
7546165,2,4,8.87,258.5710,45.6522
7546499,2,4,11.79,258.5297,44.6363
7547011,2,4,10.69,258.5680,43.1611
8309401,1,1,12.00,245.0231,35.1472
8309423,1,1,10.21,245.0762,35.0915
8310222,1,1,8.86,245.1334,32.7823
8345208,1,1,7.67,245.1051,30.5098
8345989,1,1,10.70,245.1421,31.5485
8346151,1,1,12.23,245.2407,32.0148
8346476,1,1,9.00,245.2121,32.9273
8347034,1,1,9.31,245.2460,34.5479
8347068,1,1,5.68,245.1457,34.6277
8347531,1,1,8.20,245.3362,35.8977
8347680,1,1,13.61,245.3804,35.3253
8347721,1,1,11.16,245.3060,35.2163
8348911,1,1,13.50,245.2801,31.5771
8395545,1,1,10.01,245.4599,30.5466
8395677,1,1,4.03,245.5236,30.8926
8395801,1,1,9.14,245.4833,31.2087
8396311,1,1,8.62,245.5144,32.6841
8397355,1,1,11.54,245.5243,35.7473
8397585,1,1,9.75,245.6174,35.4361
8397974,1,1,11.17,245.5598,34.2423
8398010,1,1,9.39,245.6192,34.1054
8398131,1,1,3.42,245.5893,33.7988
8398178,1,1,3.94,245.6217,33.7038
8398699,1,1,9.95,245.6825,32.2488
8398717,1,1,10.18,245.6842,32.2072
8398826,1,1,9.96,245.5632,31.9003
8399874,1,1,5.30,245.7712,30.8502
8400312,1,1,9.68,245.7960,32.0186
8400354,1,1,10.38,245.7760,32.1379
8412401,1,1,10.82,245.8132,32.8411
8412407,1,1,8.38,245.8242,32.8516
8412717,1,1,7.16,245.8109,33.6977
8413737,1,1,13.13,245.8388,35.1781
8413930,1,1,18.86,245.8501,34.6136
8414333,1,1,8.56,245.8842,33.3577
8414396,1,1,10.49,245.9474,33.1545
8415484,1,1,9.59,245.8654,30.0351
8415769,1,1,8.86,245.9891,30.6137
8416296,1,1,8.94,246.0803,32.0757
8416754,1,1,9.49,246.0943,33.2938
8417111,1,1,13.53,246.0817,34.2427
8417276,1,1,11.93,246.0274,34.7115
8444068,1,1,9.53,246.0884,34.9990
8444531,1,1,12.75,246.1684,35.3922
8444713,1,1,10.28,246.1577,34.9567
8445177,1,1,16.77,246.1824,33.6400
8445641,1,1,15.79,246.2042,32.2839
8445665,1,1,16.74,246.1539,32.2142
8447415,1,1,10.26,246.3872,32.3097
8447749,1,1,11.73,246.3573,33.2314
8447857,1,1,9.32,246.3028,33.5522
8480619,1,1,11.74,246.4415,32.4955
8481418,1,1,8.37,246.4516,30.2647
8482357,1,1,7.90,246.5475,32.0820
8482479,1,1,9.49,246.5968,32.4326
8483309,1,1,10.07,246.5523,34.6859
8483961,1,1,10.03,246.7814,35.3353
8484425,1,1,8.44,246.7619,34.0022
8484602,1,1,9.93,246.7556,33.4751
8498132,1,1,9.29,246.8078,31.9347
8501044,1,1,14.48,246.8252,35.6440
8501064,1,1,11.19,246.9070,35.6953
8501513,1,1,10.82,246.9639,34.8029
8501745,1,1,10.64,246.9874,34.1160
8502009,1,1,10.12,247.0745,33.4485
8502091,1,1,8.24,246.9765,33.1966
8502290,1,1,5.94,246.9903,32.6994
8542848,1,1,10.74,247.1354,30.3625
8544214,1,1,10.23,247.1765,34.1342
8544508,1,1,10.04,247.1813,34.8584
8544796,1,1,10.57,247.2010,35.7082
8545474,1,1,10.26,247.3588,34.3877
8545877,1,1,9.56,247.3024,33.2882
8546373,1,1,9.78,247.2927,31.9944
8547445,1,1,9.62,247.4372,30.6954
8575845,1,1,11.11,247.5180,32.8724
8575933,1,1,9.26,247.3951,33.1165
8576011,1,1,10.87,247.4890,33.2920
8577116,1,1,9.36,247.5504,35.6029
8577279,1,1,9.22,247.5346,35.1711
8577354,1,1,10.42,247.5327,34.9877
8577941,1,1,11.21,247.6006,33.4624
8577961,1,1,7.88,247.5187,33.4105
8579011,1,1,7.78,247.6237,30.5743
8579206,1,1,9.42,247.5978,30.0802
8579298,1,1,9.25,247.7100,30.0096
8579668,1,1,6.64,247.7298,30.9409
8589330,1,1,4.65,247.7615,35.2250
8589633,1,1,13.87,247.8376,35.8554
8590161,1,1,11.52,247.8784,34.3465
8590469,1,1,7.03,247.8772,33.5136
8590856,1,1,10.71,247.8273,32.4393
8591447,1,1,11.41,247.8092,30.9600
8592033,1,1,9.99,248.0230,30.3859
8592228,1,1,13.59,248.0557,30.9791
8592789,1,1,9.53,247.9795,32.5320
8592830,1,1,11.56,248.0579,32.6594
8593150,1,1,12.80,248.0419,33.6536
8593558,1,1,9.04,248.0310,34.8191
8593559,1,1,9.24,247.9733,34.8197
8593825,1,1,12.93,247.9415,35.6281
8621470,1,1,17.61,248.1595,35.1854
8621913,1,1,10.55,248.1742,33.9387
8621946,1,1,12.85,248.1419,33.8291
8623162,1,1,11.29,248.1316,30.5663
8623751,1,1,7.52,248.3021,30.9076
8624617,1,1,11.35,248.2818,33.5237
8625175,1,1,7.54,248.2194,35.0750
8625528,1,1,12.64,248.4459,35.6822
8669365,1,1,10.06,248.4219,32.2392
8669539,1,1,10.89,248.4175,31.7800
8670969,1,1,8.41,248.6007,32.0191
8671649,1,1,16.84,248.5226,33.8463
8671718,1,1,9.16,248.6175,34.0428
8671736,1,1,8.31,248.5067,34.1030
8671755,1,1,10.18,248.5746,34.1585
8673277,1,1,7.44,248.7584,33.2130
8673807,1,1,9.28,248.7305,31.7147
8673878,1,1,12.11,248.7540,31.5081
8675112,1,1,9.73,248.8196,31.5344
8675468,1,1,9.67,248.8572,32.5329
8675769,1,1,9.71,248.7829,33.3012
8676350,1,1,10.28,248.8652,35.0152
8676623,1,1,11.46,248.8070,35.7884
9026376,1,3,9.75,221.3503,34.4547
9026597,1,3,9.77,221.4024,33.4354
9026626,1,3,11.31,221.4244,33.2752
9026683,1,3,11.73,221.4133,32.9623
9026836,1,3,11.13,221.4203,32.2356
9026930,1,3,13.59,221.3926,31.7624
9027124,1,3,11.15,221.4213,30.9240
9027155,1,3,9.32,221.3749,30.7802
9027432,1,3,9.53,221.5594,30.3479
9027575,1,3,10.84,221.5737,30.9830
9027657,1,3,10.87,221.5858,31.3214
9027831,1,3,10.21,221.5310,32.1159
9027896,1,3,11.69,221.5577,32.4066
9028002,1,3,11.82,221.5530,33.0019
9028028,1,3,8.31,221.4669,33.1223
9028187,1,3,9.44,221.5937,33.9437
9028248,1,3,9.77,221.5422,34.2238
9028484,1,2,10.16,221.6021,35.4186
9028892,1,3,11.25,221.6406,34.3305
9028911,1,3,9.19,221.6710,34.2435
9029240,1,3,7.53,221.6182,32.4993
9036152,1,3,10.82,221.6370,31.4808
9036288,1,3,8.66,221.6979,30.7797
9036703,1,3,9.47,221.7556,31.0003
9036901,1,3,11.60,221.8227,31.8410
9037655,1,2,7.60,221.8380,35.5677
9037787,1,2,7.11,221.9579,35.6548
9038206,1,3,10.36,221.9807,33.5421
9038217,1,3,12.70,221.8904,33.4948
9038285,1,3,10.65,222.0145,33.0576
9038694,1,3,11.11,221.9085,31.0209
9038972,1,3,11.62,222.0425,30.0127
9039300,1,3,11.60,222.0996,31.5521
9058158,1,3,10.53,222.1051,32.0876
9058161,1,3,8.38,222.1008,32.1128
9058449,1,3,9.60,222.0482,33.6308
9058511,1,3,10.91,222.1191,33.8664
9058943,1,2,9.47,222.2458,35.6898
9059016,1,2,10.39,222.2686,35.3383
9060163,1,3,11.88,222.3244,30.0991
9060465,1,3,11.57,222.4260,31.6604
9060990,1,3,10.35,222.3946,34.1962
9061195,1,2,8.07,222.3555,35.1919
9061240,1,2,17.90,222.3385,35.4085
9065215,1,3,10.68,222.5464,32.3036
9065338,1,3,8.68,222.4790,31.9951
9065896,1,3,9.25,222.4875,30.5786
9066195,1,3,10.56,222.6293,29.9610
9066294,1,3,9.37,222.6751,30.1660
9066623,1,3,10.24,222.6328,30.9387
9066639,1,3,10.33,222.6097,30.9757
9067241,1,3,10.14,222.5885,32.7874
9067354,1,3,9.06,222.6386,33.0366
9067405,1,3,8.79,222.6159,33.1457
9067692,1,3,11.11,222.7028,33.9251
9068338,1,2,8.84,222.6252,35.6397
9069008,1,3,11.90,222.8593,34.2855
9069094,1,3,10.87,222.7524,34.0727
9069250,1,3,13.56,222.8218,33.6290
9094160,1,3,9.94,222.7911,31.1102
9094344,1,3,9.04,222.7422,30.3309
9095061,1,3,10.56,222.9679,32.9686
9095103,1,3,10.88,222.9379,33.1954
9095273,1,3,9.43,222.9389,34.1491
9096669,1,3,10.55,223.2702,30.0296
9096683,1,3,11.44,223.2566,30.1112
9096898,1,3,8.38,223.1944,31.2054
9103808,1,3,10.50,223.2786,31.7996
9103842,1,3,6.00,223.1823,31.9249
9103873,1,3,11.51,223.1804,32.1062
9103960,1,3,8.17,223.1786,32.4516
9103977,1,3,10.01,223.1972,32.5407
9104004,1,3,6.43,223.2230,32.6909
9105143,1,3,11.97,223.3807,33.0558
9105313,1,3,10.92,223.3499,32.1861
9105456,1,3,12.85,223.3419,31.2966
9105525,1,3,11.01,223.4008,30.9365
9105870,1,3,8.57,223.4319,30.9580
9105916,1,3,12.04,223.5612,31.1821
9106233,1,3,11.85,223.5422,33.0946
9106331,1,3,8.49,223.5547,33.6088
9106616,1,2,11.12,223.4857,35.2090
9106724,1,2,8.65,223.4664,35.7944
10161397,4,4,11.92,27.5532,61.8884
10161517,4,4,14.24,27.4558,61.9216
10163838,4,4,12.82,27.5453,62.6251
10164865,4,4,13.12,27.4346,62.9331
10344880,4,4,13.78,28.0805,62.0886
10352491,4,4,9.13,27.9662,64.4339
10352533,4,4,14.16,28.0289,64.4486
10355226,4,4,13.04,27.9003,65.2588
10425404,4,4,10.74,28.5133,62.0855
10426191,4,4,12.36,28.4171,62.2851
10506748,4,4,12.45,28.6520,64.7322
10508208,4,4,12.95,28.6397,64.3244
10510382,4,4,3.42,28.5993,63.6700
10790655,4,4,10.64,28.8275,65.6303
10866232,4,4,13.42,29.1335,62.7774
10868267,4,4,5.73,29.0700,62.1979
10969843,4,4,13.65,29.3135,62.6338
10973895,4,4,12.65,29.3417,63.6711
11325040,4,4,5.31,29.9090,64.6215
11329657,4,4,12.11,30.0011,65.7186
11332689,4,4,12.60,30.1553,65.2667
11333775,4,4,13.21,30.2260,64.9450
11334563,4,4,8.21,30.2313,64.7218
11335421,4,4,13.67,30.2489,64.4823
11337032,4,4,12.21,30.0794,64.0353
11996814,4,4,11.65,31.1705,65.2894
12002586,4,4,12.32,31.2330,63.2486
12709436,4,2,9.22,342.9147,63.8840
12711731,4,2,5.97,342.8729,62.9719
12788432,4,2,12.03,343.0881,60.2437
12788738,4,2,15.62,343.0092,60.3486
12790306,4,2,6.75,343.1908,60.9161
12794832,4,2,7.51,343.1273,62.4405
12868098,4,2,12.54,343.3141,65.5037
12958037,4,2,4.36,343.2659,60.1011
12961695,4,2,8.38,343.5062,60.8532
12962163,4,2,10.38,343.5814,60.9947
13025152,4,2,16.07,343.6153,62.8202
13026234,4,2,12.26,343.6282,63.1483
13037534,4,2,10.00,343.8759,64.0086
13104869,4,2,7.59,343.9269,62.3063
13106567,4,2,8.26,343.7543,61.6155
13207868,4,2,11.35,343.9507,61.1550
13211109,4,2,4.77,343.9935,62.4323
13211274,4,2,13.31,344.1580,62.4965
13212836,4,2,7.21,344.1288,62.8686
13279418,4,2,13.02,344.4142,64.3150
13284088,4,2,7.03,344.1966,62.7271
13287237,4,2,13.22,344.3110,61.5749
13383895,4,2,11.85,344.5884,61.2402
13385270,4,2,11.79,344.5658,61.7406
13389059,4,2,7.08,344.6658,63.0771
13468023,4,2,12.07,344.5682,65.4747
16248225,1,3,10.91,228.7398,32.7564
16248373,1,3,10.06,228.6721,32.2746
16249133,1,3,8.89,228.8364,30.3470
16249258,1,3,9.36,228.8874,30.8737
16249311,1,3,10.21,228.8105,31.0483
16249433,1,3,10.88,228.8148,31.4774
16249573,1,3,12.41,228.8247,31.9605
16249574,1,3,12.36,228.8258,31.9608
16270405,1,2,11.55,228.8529,33.7878
16270479,1,2,10.09,228.8022,34.1272
16271907,1,3,12.40,228.9793,31.8640
16272411,1,3,10.89,228.9464,30.0337
16272540,1,3,9.62,229.0544,30.2779
16272884,1,3,10.87,229.1066,31.5291
16273155,1,3,8.64,229.0797,32.7425
16273442,1,2,11.69,229.1232,33.7874
16281764,1,2,9.88,229.2694,34.7807
16281990,1,2,9.73,229.2179,33.7090
16282004,1,2,9.85,229.2823,33.6813
16282570,1,3,10.36,229.2025,31.4875
16283015,1,2,8.16,230.6386,35.4025
16283741,1,3,10.22,230.6419,32.2165
16283824,1,3,11.07,230.5870,31.8787
16283869,1,3,11.09,230.6883,31.6885
16284198,1,3,7.74,230.6910,30.5479
16284743,1,2,10.15,231.2124,34.0936
16318847,1,3,8.71,231.2464,30.0574
16319323,1,3,8.49,231.9423,31.7022
16319683,1,2,10.59,231.9274,33.1558
16320438,1,2,11.15,232.0464,35.5168
16321340,1,3,10.20,232.0208,31.5069
16321691,1,3,8.03,232.0443,30.0044
16329527,1,3,9.80,232.1945,31.0128
16329528,1,3,10.47,232.1936,31.0136
16330048,1,2,8.03,232.1433,33.3351
16330323,1,2,10.36,232.1133,34.6663
16330329,1,2,8.75,232.1868,34.6877
16330886,1,2,10.36,232.3693,34.7508
16331062,1,2,9.80,232.3859,33.8820
16332176,1,3,8.86,232.5010,30.9516
16332562,1,2,7.79,232.4900,32.6189
16370785,1,2,13.19,232.4486,34.3669
16370898,1,2,10.92,232.4356,34.8883
16370959,1,2,7.45,232.4359,35.1750
16371403,1,2,11.00,232.6037,34.6700
16372149,1,3,6.25,232.5947,31.2858
16878120,1,2,6.82,232.6918,34.4656
16878833,1,3,11.11,232.7006,31.6165
16883885,1,2,12.31,232.8905,32.4770
16884216,1,2,8.51,232.8634,33.9027
16884423,1,2,12.47,232.8192,34.6908
16884625,1,2,11.12,232.8847,35.5367
16884633,1,2,9.69,232.8950,35.5652
16885406,1,2,9.11,233.1788,32.7394
16886178,1,2,10.46,233.2809,35.8735
16886256,1,2,8.42,233.2363,35.3952
16888881,1,4,11.52,233.5897,30.6444
16889234,1,4,11.55,233.6739,30.6881
16914167,1,4,11.65,233.8476,30.5073
16914599,1,4,10.97,233.9775,31.0943
16915424,1,2,8.41,234.0141,34.3155
16915536,1,2,11.37,233.9318,34.8071
16915763,1,2,6.93,234.0515,35.7050
16915951,1,2,11.18,234.0841,35.4278
16959419,1,4,10.06,234.1267,30.8178
16959460,1,4,9.38,234.1907,30.6683
16959502,1,4,11.66,234.1433,30.4966
16959673,1,4,6.03,234.2232,29.9909
16959862,1,4,10.10,234.2229,30.6778
16961111,1,2,12.12,234.3300,35.6893
16962459,1,4,10.51,234.4188,30.7951
16962614,1,4,9.43,234.3734,30.2199
16962645,1,4,8.28,234.4720,30.1038
16962647,1,4,7.99,234.4735,30.1031
16982864,1,2,9.67,234.7335,35.6906
16986313,1,1,9.56,234.8778,32.0115
16986337,1,1,11.62,234.8683,32.0742
16986717,1,1,9.18,234.8518,32.9089
16986865,1,1,12.11,234.7988,33.2414
16986908,1,1,10.41,234.8877,33.3438
16990323,1,2,10.27,234.8883,35.7779
16991033,1,1,11.65,234.9392,33.4037
16991644,1,4,12.00,235.0308,30.7410
16991989,1,4,11.62,235.0956,30.5144
16992652,1,1,14.94,235.1379,33.1484
16998147,1,1,10.16,235.2273,33.4745
16998169,1,1,13.51,235.2072,33.4011
16998331,1,1,8.05,235.1930,32.7593
16999898,1,1,12.88,235.3531,33.1860
17000897,1,1,10.11,235.5175,34.6488
17001061,1,1,12.63,235.5401,33.9499
17001548,1,1,9.53,235.5719,32.0122
17042603,1,4,8.87,235.5650,30.5208
17043690,1,1,5.48,235.6692,31.7087
17043802,1,1,9.66,235.6601,31.9457
17043953,1,1,9.78,235.6158,32.2773
17046296,1,1,7.99,235.8132,34.8119
17046809,1,1,12.95,235.7614,33.7694
17046850,1,1,11.61,235.8260,33.6526
17047086,1,1,11.80,235.8332,33.1825
17047553,1,1,9.71,235.8583,32.3048
17047991,1,1,6.80,235.8102,31.3838
17062324,1,1,4.64,235.9969,32.5158
17063214,1,1,10.79,236.0702,35.5068
17063537,1,1,10.34,236.1373,34.0543
17063638,1,1,9.34,236.1333,33.6044
17063991,1,1,5.91,236.0957,32.1476
17065068,1,1,10.25,236.2072,32.2393
17065414,1,1,10.93,236.2974,33.6330
17065895,1,1,9.98,236.1958,35.5611
17065896,1,1,9.96,236.1969,35.5619
17092926,1,1,11.75,236.3530,32.4669
17330279,1,1,7.62,240.9275,35.5492
17331239,1,1,7.64,240.9288,34.0131
17331985,1,1,10.62,240.8966,32.8058
17341671,1,1,8.72,240.9785,31.0430
17342155,1,1,10.77,240.9393,32.6165
17342187,1,1,11.00,241.0349,32.7324
17342647,1,1,6.71,241.0560,34.1789
17344139,1,1,9.48,241.0756,32.4211
17344212,1,1,8.93,241.1720,32.1583
17345020,1,1,10.13,241.3388,30.4014
17378043,1,1,11.29,241.2376,31.2224
17378050,1,1,9.49,241.3006,31.2363
17378431,1,1,9.87,241.2230,32.5838
17378659,1,1,9.45,241.2645,33.4477
17378670,1,1,11.14,241.2297,33.4724
17379021,1,1,11.37,241.2811,34.7854
17379221,1,1,8.01,241.2618,35.4784
17379576,1,1,7.49,241.4681,35.0046
17380223,1,1,9.95,241.4767,32.6901
17380368,1,1,5.30,241.4378,32.2476
17380560,1,1,7.47,241.3763,31.5835
17380752,1,1,5.94,241.4185,30.9170
17382053,1,1,10.96,241.5042,33.2705
17382225,1,1,11.38,241.6021,33.8303
17382231,1,1,10.23,241.5628,33.8409
17405794,1,1,12.94,241.6631,35.1258
17405925,1,1,9.19,241.6767,34.6211
17406028,1,1,11.78,241.6889,34.2335
17406068,1,1,7.93,241.6646,34.1040
17406268,1,1,10.97,241.6874,33.3265
17407129,1,1,9.12,241.7192,30.4570
17408069,1,1,9.43,241.8773,32.3294
17408089,1,1,5.86,241.7860,32.3796
17408171,1,1,8.62,241.8951,32.6706
17408570,1,1,9.66,241.8089,34.0266
17408671,1,1,16.52,241.8093,34.3948
17408734,1,1,9.63,241.8365,34.6635
17411111,1,1,9.66,241.9345,33.4389
17411695,1,1,9.07,242.0412,32.4782
17414288,1,1,12.18,242.0948,31.6275
17414796,1,1,10.28,242.0718,32.5607
17415477,1,1,11.93,242.1357,33.7228
17415491,1,1,7.80,242.1118,33.7332
17416242,1,1,10.75,242.1751,35.1429
17417102,1,1,9.53,242.2930,35.1189
